순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,MRNA,Moderna,$182.56,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.33,1.0,1.14,260.8%,98.9,85,30,30,10,15,4
2,DELL,Dell Technologies,$548.92,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.39,1.19,1.26,167.7%,98.3,84,29,30,10,15,4
3,HPE,Hewlett Packard Enterprise,$61.03,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.59,0.97,0.82,155.5%,97.7,84,29,30,10,15,4
4,CRWD,CrowdStrike,$249.35,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.28,1.46,0.69,157.7%,97.5,84,29,30,10,15,4
5,VLO,Valero Energy,$393.27,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.38,1.89,0.42,144.1%,97.2,84,29,30,10,15,2
6,MPC,Marathon Petroleum,$402.38,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.3,2.11,0.45,146.1%,97.0,84,29,30,10,15,3
7,PANW,Palo Alto Networks,$371.76,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.21,1.34,0.39,142.4%,95.8,84,29,30,10,15,4
8,P,[Trending] P,$113.66,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.46,5.56,0.1,145.5%,95.1,84,29,30,10,15,2
9,PSX,Phillips 66,$261.75,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.3,1.94,0.33,137.7%,94.9,83,28,30,10,15,2
10,FTNT,Fortinet,$175.23,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.32,1.41,0.25,139.6%,94.3,83,28,30,10,15,1
11,NEM,Newmont,$123.05,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.07,1.38,0.26,111.5%,93.7,83,28,30,10,15,2
12,NTAP,NetApp,$198.15,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.39,1.12,0.37,137.8%,93.0,83,28,30,10,15,3
13,ANET,Arista Networks,$205.42,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.4,1.16,0.47,126.0%,92.4,83,28,30,10,15,4
14,SWKS,Skyworks Solutions,$88.74,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.7,1.62,0.2,135.5%,92.0,83,28,30,10,15,3
15,APH,Amphenol,$80.60,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.4,1.31,0.39,108.7%,91.8,83,28,30,10,15,2
16,HPQ,HP Inc.,$32.95,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.58,1.36,0.45,140.2%,91.5,82,27,30,10,15,2
17,APA,APA Corporation,$43.81,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.41,1.32,0.5,117.4%,90.9,82,27,30,10,15,3
18,NVDA,Nvidia,$228.87,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.6,1.06,0.87,112.6%,90.5,82,27,30,10,15,2
19,CRL,Charles River Laboratories,$279.01,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.15,1.15,0.64,135.0%,90.1,82,27,30,10,15,2
20,RVTY,Revvity,$143.59,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.36,1.5,0.62,137.8%,89.2,82,27,30,10,15,2
21,KEYS,Keysight Technologies,$342.03,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.7,0.94,0.45,105.9%,89.0,82,27,30,10,15,2
22,EXPD,Expeditors International,$192.15,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.28,1.58,0.51,118.3%,88.6,82,27,30,10,15,2
23,IVZ,Invesco,$31.38,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.39,1.18,0.6,114.0%,87.1,81,26,30,10,15,2
24,AAPL,Apple Inc.,$339.75,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.29,1.13,1.16,115.9%,86.9,81,26,30,10,15,3
25,JCI,Johnson Controls,$145.18,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.5,1.01,0.4,103.1%,85.6,81,26,30,10,15,2
