순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,STT,State Street Corporation,$185.81,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.44,0.67,1.6,123.3%,90.2,97,27,30,25,15,1
2,BNY,BNY Mellon,$159.76,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.31,0.61,1.16,118.9%,90.1,97,27,30,25,15,1
3,BEN,Franklin Resources,$33.98,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.15,0.65,1.4,117.2%,86.4,96,26,30,25,15,2
4,EXPD,Expeditors International,$186.44,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.14,0.56,0.99,118.0%,85.5,96,26,30,25,15,2
5,PFG,Principal Financial Group,$111.64,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.45,0.61,0.87,111.7%,74.6,92,22,30,25,15,1
6,GM,General Motors,$84.96,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.25,0.65,1.27,106.8%,74.2,92,22,30,25,15,2
7,CPAY,Corpay,$407.08,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.42,0.67,0.6,120.1%,73.4,92,22,30,25,15,1
8,CSX,CSX Corporation,$50.68,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.16,0.7,1.04,114.4%,71.5,91,21,30,25,15,1
9,VLO,Valero Energy,$346.26,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.16,0.72,1.3,140.9%,97.5,84,29,30,10,15,3
10,MPC,Marathon Petroleum,$360.75,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.19,1.07,1.18,146.9%,97.1,84,29,30,10,15,3
11,PANW,Palo Alto Networks,$359.76,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.67,0.78,1.07,153.3%,96.6,84,29,30,10,15,4
12,CRL,Charles River Laboratories,$290.00,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.47,0.9,1.4,149.0%,95.8,84,29,30,10,15,3
13,PSX,Phillips 66,$242.29,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.35,1.21,0.96,139.7%,95.6,84,29,30,10,15,2
14,NTAP,NetApp,$194.48,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.5,0.92,1.12,148.9%,95.4,84,29,30,10,15,3
15,ABNB,Airbnb,$186.39,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.69,1.01,1.12,134.6%,92.7,83,28,30,10,15,2
16,HWM,Howmet Aerospace,$283.48,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.58,0.78,1.48,111.3%,92.0,83,28,30,10,15,2
17,IVZ,Invesco,$32.21,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.11,0.76,0.8,120.2%,89.1,82,27,30,10,15,2
18,RTX,RTX Corporation,$220.35,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.2,1.19,1.04,113.5%,88.0,81,26,30,10,15,2
19,NTRS,Northern Trust,$185.40,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.58,0.86,1.29,115.0%,87.4,81,26,30,10,15,2
20,GRMN,Garmin,$295.67,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.31,1.06,1.19,121.8%,86.8,81,26,30,10,15,3
21,TGT,Target Corporation,$159.00,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.5,1.66,1.64,127.9%,86.6,81,26,30,10,15,1
22,CAH,Cardinal Health,$234.85,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.36,0.75,0.77,108.6%,86.0,81,26,30,10,15,2
23,DGX,Quest Diagnostics,$241.76,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.24,0.77,1.33,119.7%,83.9,80,25,30,10,15,1
24,DXCM,DexCom,$89.88,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.2,1.06,2.58,127.2%,83.7,80,25,30,10,15,1
25,LH,Labcorp,$330.44,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.29,0.9,0.88,120.3%,83.6,80,25,30,10,15,3
26,SCHW,Charles Schwab Corporation,$110.88,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.14,0.78,0.92,115.5%,82.8,80,25,30,10,15,2
27,FCX,Freeport-McMoRan,$69.09,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),3,0.49,0.87,1.59,110.0%,82.2,80,25,30,10,15,3
28,WELL,Welltower,$235.73,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.07,0.71,1.21,111.2%,81.3,79,24,30,10,15,2
29,SWK,Stanley Black & Decker,$99.80,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.39,0.86,1.07,121.7%,80.9,79,24,30,10,15,2
30,URI,United Rentals,"$1,117.04",매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.58,0.81,0.98,118.8%,80.5,79,24,30,10,15,3
31,BAC,Bank of America,$63.17,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.28,0.85,0.84,116.6%,80.3,79,24,30,10,15,2
32,FAST,Fastenal,$51.44,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.12,0.75,1.07,112.5%,79.7,79,24,30,10,15,1
33,KO,Coca-Cola Company (The),$90.35,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.55,0.78,1.28,114.2%,79.3,79,24,30,10,15,1
34,WSM,"Williams-Sonoma, Inc.",$242.31,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.09,0.87,1.17,117.6%,78.0,78,23,30,10,15,2
35,NVDA,Nvidia,$217.56,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.51,0.77,0.94,109.8%,76.5,78,23,30,10,15,2
36,BDX,Becton Dickinson,$187.60,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.4,0.8,1.34,118.8%,75.9,78,23,30,10,15,2
37,ALL,Allstate,$259.74,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.12,0.76,0.84,117.3%,75.0,77,22,30,10,15,1
38,TRV,Travelers Companies (The),$362.22,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.15,0.96,1.34,115.6%,73.0,77,22,30,10,15,1
39,ADM,Archer Daniels Midland,$80.76,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.25,0.95,1.0,109.4%,72.1,77,22,30,10,15,1
40,BMY,Bristol Myers Squibb,$67.61,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.45,0.84,1.48,116.1%,70.6,76,21,30,10,15,2
41,NDSN,Nordson Corporation,$309.92,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.34,1.51,1.1,109.0%,70.4,76,21,30,10,15,2
42,MET,MetLife,$95.11,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.25,0.73,1.69,117.7%,70.0,76,21,30,10,15,1
43,ABBV,AbbVie,$265.97,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.97,0.7,1.1,118.8%,83.0,75,25,10,25,15,2
