순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,ROST,Ross Stores,$254.31,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.14,0.65,0.88,118.1%,89.5,97,27,30,25,15,2
2,DLTR,Dollar Tree,$129.68,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.22,0.59,0.86,112.6%,88.6,97,27,30,25,15,1
3,DAL,Delta Air Lines,$91.98,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.55,0.69,1.04,124.3%,87.4,96,26,30,25,15,2
4,CFG,Citizens Financial Group,$72.43,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.39,0.69,1.56,113.6%,81.7,95,25,30,25,15,2
5,UAL,United Airlines Holdings,$129.12,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.55,0.64,0.64,119.9%,77.7,93,23,30,25,15,2
6,CASY,Casey's,$832.42,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.37,0.65,1.11,111.5%,86.3,86,26,30,25,5,2
7,CRWD,CrowdStrike,$207.39,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.6,0.76,0.94,152.1%,97.1,84,29,30,10,15,4
8,PANW,Palo Alto Networks,$359.49,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.46,0.93,1.01,161.1%,97.0,84,29,30,10,15,4
9,VLO,Valero Energy,$302.99,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.17,1.03,0.84,128.2%,96.0,84,29,30,10,15,3
10,NUE,Nucor,$272.00,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.64,1.1,0.54,131.5%,94.9,83,28,30,10,15,3
