순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,DELL,Dell Technologies,$463.82,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.46,0.69,1.12,166.4%,98.5,100,30,30,25,15,3
2,IVZ,Invesco,$32.98,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.41,0.67,1.24,122.4%,92.7,98,28,30,25,15,2
3,BNY,BNY Mellon,$163.08,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.64,0.62,1.04,120.2%,92.1,98,28,30,25,15,1
4,FTNT,Fortinet,$157.54,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.55,0.67,0.86,135.6%,89.8,97,27,30,25,15,1
5,INCY,Incyte,$128.12,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.26,0.55,0.69,122.5%,89.6,97,27,30,25,15,3
6,EXPD,Expeditors International,$190.18,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.25,0.57,1.15,119.7%,89.0,97,27,30,25,15,2
7,BEN,Franklin Resources,$35.01,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.52,0.52,0.79,119.4%,88.6,97,27,30,25,15,2
8,WELL,Welltower,$241.56,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.27,0.66,1.33,113.0%,88.2,96,26,30,25,15,2
9,CSX,CSX Corporation,$51.76,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.26,0.67,1.07,115.5%,83.0,95,25,30,25,15,1
10,VRTX,Vertex Pharmaceuticals,$547.29,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.24,0.58,1.07,117.1%,82.2,95,25,30,25,15,2
11,WAB,Wabtec,$300.54,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.16,0.67,1.11,114.1%,80.1,94,24,30,25,15,1
12,ABBV,AbbVie,$262.90,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.28,0.65,0.9,116.5%,79.0,94,24,30,25,15,2
13,BIIB,Biogen,$221.07,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.56,0.52,1.31,114.0%,77.0,93,23,30,25,15,3
14,FAST,Fastenal,$51.15,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.18,0.57,0.83,111.2%,76.8,93,23,30,25,15,1
15,PFG,Principal Financial Group,$112.21,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.34,0.51,1.54,111.5%,72.4,92,22,30,25,15,1
16,BMY,Bristol Myers Squibb,$67.57,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.31,0.67,0.95,115.2%,70.3,91,21,30,25,15,2
17,HPE,Hewlett Packard Enterprise,$55.23,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.26,0.65,0.92,156.7%,97.3,89,29,30,25,5,4
18,RVMD,[Trending] RVMD,$215.44,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.28,1.16,2.55,149.5%,98.6,85,30,30,10,15,3
19,VLO,Valero Energy,$348.03,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.23,0.76,1.24,138.5%,96.9,84,29,30,10,15,3
20,MPC,Marathon Petroleum,$362.27,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.16,0.96,0.95,143.9%,96.7,84,29,30,10,15,3
21,CRL,Charles River Laboratories,$295.10,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.15,1.06,1.39,149.7%,95.6,84,29,30,10,15,2
22,PSX,Phillips 66,$242.23,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.19,0.84,1.02,136.5%,95.4,84,29,30,10,15,2
23,HUM,Humana,$391.06,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.37,0.82,0.95,139.8%,94.0,83,28,30,10,15,2
24,NTAP,NetApp,$193.85,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.25,0.74,0.98,145.1%,93.1,83,28,30,10,15,3
25,ANET,Arista Networks,$202.25,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.58,0.74,1.74,128.9%,91.5,82,27,30,10,15,4
26,ABNB,Airbnb,$188.07,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.18,1.02,0.75,134.0%,91.1,82,27,30,10,15,2
27,AMGN,Amgen,$440.34,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.26,0.91,1.08,122.7%,90.5,82,27,30,10,15,2
28,APH,Amphenol,$161.34,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.41,0.85,1.08,109.9%,90.3,82,27,30,10,15,2
29,NUE,Nucor,$252.80,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.24,0.82,1.13,117.4%,90.0,82,27,30,10,15,3
30,APA,APA Corporation,$41.19,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.6,0.92,0.84,116.8%,88.8,82,27,30,10,15,3
31,BAX,Baxter International,$26.50,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.04,0.67,1.37,129.8%,72.2,82,22,30,25,5,1
32,ZBRA,Zebra Technologies,$359.84,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.08,0.75,1.17,141.7%,87.8,81,26,30,10,15,1
33,JNJ,Johnson & Johnson,$270.00,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.51,0.79,1.53,112.5%,87.3,81,26,30,10,15,1
34,NTRS,Northern Trust,$187.66,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.56,0.91,0.73,115.4%,87.1,81,26,30,10,15,2
35,NDSN,Nordson Corporation,$334.58,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.11,0.99,1.02,116.8%,86.7,81,26,30,10,15,2
36,TGT,Target Corporation,$164.04,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.54,1.42,0.59,129.9%,85.9,81,26,30,10,15,1
37,DGX,Quest Diagnostics,$245.00,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.11,0.82,1.14,120.1%,85.7,81,26,30,10,15,1
38,TRGP,Targa Resources,$294.03,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.69,0.87,0.83,117.3%,85.3,81,26,30,10,15,1
39,PH,Parker Hannifin,"$1,039.49",강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.39,1.12,0.87,109.7%,84.6,80,25,30,10,15,2
40,LH,Labcorp,$335.72,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.14,0.9,1.01,121.2%,83.8,80,25,30,10,15,2
41,RTX,RTX Corporation,$211.99,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.11,0.86,0.77,108.9%,82.8,80,25,30,10,15,2
42,TRV,Travelers Companies (The),$371.15,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.17,0.77,1.43,117.3%,81.3,79,24,30,10,15,1
43,VTR,Ventas,$93.50,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.13,0.71,0.75,108.4%,81.1,79,24,30,10,15,2
44,DXCM,DexCom,$88.96,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.22,0.83,0.93,124.7%,80.9,79,24,30,10,15,1
45,SCHW,Charles Schwab Corporation,$109.39,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.56,1.14,2.76,113.5%,80.7,79,24,30,10,15,2
46,PM,Philip Morris International,$194.10,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.41,0.82,1.68,109.7%,79.9,79,24,30,10,15,2
47,SWK,Stanley Black & Decker,$99.76,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.12,0.74,1.15,120.8%,79.7,79,24,30,10,15,2
48,NSC,Norfolk Southern,$352.68,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.31,0.76,0.83,113.3%,79.3,79,24,30,10,15,2
49,RVTY,Revvity,$126.35,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.5,0.87,1.12,124.8%,78.8,79,24,30,10,15,2
50,STT,State Street Corporation,$193.62,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.94,0.66,0.89,126.8%,93.4,78,28,10,25,15,1
51,SJM,J.M. Smucker Company (The),$130.90,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.69,1.41,1.45,123.7%,78.2,78,23,30,10,15,2
