순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,STT,State Street Corporation,$187.05,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.22,0.6,0.73,127.4%,91.3,97,27,30,25,15,1
2,DLTR,Dollar Tree,$128.76,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.21,0.68,0.54,111.8%,87.8,96,26,30,25,15,1
3,GM,General Motors,$89.16,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.24,0.7,1.29,112.5%,87.6,96,26,30,25,15,2
4,CASY,Casey's,$852.86,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.22,0.6,0.77,114.5%,87.5,96,26,30,25,15,2
5,DAL,Delta Air Lines,$93.14,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.6,0.69,0.97,126.2%,87.1,96,26,30,25,15,2
6,CFG,Citizens Financial Group,$73.60,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.42,0.61,0.73,115.6%,82.9,95,25,30,25,15,2
7,TER,Teradyne,$389.39,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.37,0.7,0.77,117.5%,96.0,89,29,30,25,5,4
8,PANW,Palo Alto Networks,$362.66,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.56,1.0,0.68,163.4%,97.0,84,29,30,10,15,4
9,OSCR,[Trending] OSCR,$30.11,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.38,0.79,2.11,151.3%,96.4,84,29,30,10,15,3
10,DDOG,Datadog,$283.17,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.52,1.15,1.17,164.2%,96.2,84,29,30,10,15,3
11,VLO,Valero Energy,$302.39,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.16,1.1,0.88,128.4%,95.8,84,29,30,10,15,3
12,NUE,Nucor,$274.74,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.69,1.11,1.21,133.3%,95.4,84,29,30,10,15,3
13,STLD,Steel Dynamics,$265.96,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.37,0.98,0.67,125.2%,94.5,83,28,30,10,15,2
14,FTNT,Fortinet,$164.13,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.65,0.93,0.71,151.7%,93.7,83,28,30,10,15,1
15,MPC,Marathon Petroleum,$297.75,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.3,1.07,1.11,126.8%,93.3,83,28,30,10,15,3
16,CRL,Charles River Laboratories,$260.72,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,0.63,1.33,1.55,137.2%,91.4,82,27,30,10,15,3
17,BNY,BNY Mellon,$158.74,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.17,0.73,1.0,120.7%,91.1,82,27,30,10,15,1
18,CAH,Cardinal Health,$239.23,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.65,1.01,1.03,111.7%,89.7,82,27,30,10,15,2
19,RTX,RTX Corporation,$222.31,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.51,0.92,0.67,115.5%,89.5,82,27,30,10,15,2
20,ROST,Ross Stores,$253.22,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.1,0.76,0.75,117.8%,89.2,82,27,30,10,15,2
21,PSX,Phillips 66,$202.55,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.26,1.13,1.1,120.0%,88.6,82,27,30,10,15,2
22,TRV,Travelers Companies (The),$382.45,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.16,0.88,0.7,124.5%,88.4,82,27,30,10,15,1
23,C,Citigroup,$137.64,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.58,0.81,0.99,111.7%,87.3,81,26,30,10,15,2
24,GL,Globe Life,$183.86,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.11,0.87,1.23,119.7%,86.5,81,26,30,10,15,1
25,NTRS,Northern Trust,$184.38,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.16,0.88,0.85,116.7%,86.3,81,26,30,10,15,2
26,DGX,Quest Diagnostics,$235.84,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.25,0.79,0.75,119.2%,85.9,81,26,30,10,15,1
27,HST,Host Hotels & Resorts,$25.13,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.14,0.99,1.07,122.4%,85.2,81,26,30,10,15,1
28,FFIV,"F5, Inc.",$411.32,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.63,1.42,0.56,124.1%,83.5,80,25,30,10,15,2
29,WELL,Welltower,$237.25,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.17,1.18,0.59,113.3%,83.3,80,25,30,10,15,2
30,GS,Goldman Sachs,"$1,060.38",강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.5,0.92,0.62,111.7%,83.1,80,25,30,10,15,2
31,INCY,Incyte,$119.80,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.26,0.87,0.86,116.8%,82.3,80,25,30,10,15,3
32,JNJ,Johnson & Johnson,$257.59,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.12,0.85,0.88,109.3%,81.2,79,24,30,10,15,1
33,VRSN,Verisign,$293.41,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.49,1.05,1.28,112.8%,81.0,79,24,30,10,15,2
34,CSX,CSX Corporation,$51.12,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.36,0.94,0.68,118.0%,80.8,79,24,30,10,15,1
35,ALL,Allstate,$264.59,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.09,0.89,0.74,121.7%,80.4,79,24,30,10,15,1
36,BAC,Bank of America,$63.25,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.3,0.79,1.07,118.1%,80.0,79,24,30,10,15,2
37,PFG,Principal Financial Group,$114.85,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.31,0.78,0.92,116.9%,79.8,79,24,30,10,15,1
38,UAL,United Airlines Holdings,$132.76,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.6,0.76,0.97,123.4%,79.7,79,24,30,10,15,2
39,WAB,Wabtec,$296.31,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.44,0.76,0.64,115.6%,79.5,79,24,30,10,15,1
40,MNST,Monster Beverage,$94.46,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.69,1.03,0.64,112.6%,78.7,79,24,30,10,15,2
41,TPR,"Tapestry, Inc.",$159.16,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.71,0.68,1.09,111.8%,94.1,78,28,10,25,15,2
42,TGT,Target Corporation,$147.70,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.49,0.91,1.12,121.3%,77.8,78,23,30,10,15,1
43,XYZ,"Block, Inc.",$84.20,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.37,1.07,1.84,123.9%,75.9,78,23,30,10,15,2
44,MET,MetLife,$96.26,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.12,1.19,0.88,121.1%,74.3,77,22,30,10,15,1
45,VTRS,Viatris,$17.65,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.14,0.99,1.28,117.6%,73.8,77,22,30,10,15,2
46,VTR,Ventas,$92.53,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.22,0.94,1.05,109.3%,73.0,77,22,30,10,15,2
47,CCEP,Coca-Cola Europacific Partners,$108.58,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.53,1.33,0.6,112.1%,72.8,77,22,30,10,15,2
48,LLY,Lilly (Eli),"$1,169.86",매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.57,1.53,1.57,112.0%,72.2,77,22,30,10,15,2
49,KO,Coca-Cola Company (The),$86.83,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.53,0.97,0.93,111.6%,71.7,77,22,30,10,15,1
50,HSIC,Henry Schein,$89.59,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.69,1.61,0.49,114.3%,71.5,76,21,30,10,15,2
51,MTB,M&T Bank,$251.94,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.34,0.9,1.03,114.4%,70.9,76,21,30,10,15,2
52,PH,Parker Hannifin,$996.90,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.61,1.42,1.14,106.6%,70.7,76,21,30,10,15,1
53,CLS,[Trending] CLS,$362.76,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),3,0.65,1.07,0.54,108.7%,97.5,74,29,30,10,5,3
54,KEYS,Keysight Technologies,$336.02,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.68,0.76,0.61,112.4%,88.2,71,26,30,10,5,2
55,PWR,Quanta Services,$682.99,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.43,0.82,0.57,112.7%,85.0,71,26,30,10,5,1
56,DELL,Dell Technologies,$462.70,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,1.45,0.87,0.92,188.9%,98.9,65,30,10,10,15,3
57,CRWD,CrowdStrike,$209.86,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.8,0.86,0.87,154.6%,97.1,64,29,10,10,15,4
58,NTAP,NetApp,$186.60,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,1.18,1.06,0.88,150.0%,95.1,64,29,10,10,15,3
59,CSCO,Cisco,$121.50,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.0,0.9,0.69,128.2%,94.3,63,28,10,10,15,2
60,APH,Amphenol,$172.24,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.94,0.86,0.75,119.0%,93.9,63,28,10,10,15,2
61,HWM,Howmet Aerospace,$291.42,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.78,0.73,0.89,116.6%,92.8,63,28,10,10,15,2
62,GE,GE Aerospace,$381.22,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.73,0.79,0.76,118.9%,92.4,63,28,10,10,15,2
