순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,DXCM,DexCom,$89.69,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.1,0.5,0.89,124.7%,75.7,93,23,30,25,15,1
2,AIZ,Assurant,$284.07,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.29,0.69,0.9,114.5%,75.5,93,23,30,25,15,2
3,MU,Micron Technology,$956.08,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.21,0.65,0.77,136.1%,99.6,90,30,30,25,5,4
4,LITE,Lumentum,$870.58,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),4,0.44,0.7,0.73,109.8%,99.4,90,30,30,25,5,4
5,ANET,Arista Networks,$186.10,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.46,0.65,1.0,117.4%,85.4,86,26,30,25,5,4
6,MPC,Marathon Petroleum,$387.00,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.43,1.2,1.01,149.7%,97.9,84,29,30,10,15,3
7,VLO,Valero Energy,$366.09,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.41,1.17,1.04,142.4%,97.7,84,29,30,10,15,3
8,PSX,Phillips 66,$256.09,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.44,1.29,0.93,141.4%,96.4,84,29,30,10,15,2
9,HUM,Humana,$400.97,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.52,0.82,1.07,140.7%,95.2,84,29,30,10,15,2
10,CRL,Charles River Laboratories,$291.76,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.21,0.88,0.86,146.3%,94.9,83,28,30,10,15,2
11,APA,APA Corporation,$44.70,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.36,0.82,0.89,124.6%,94.3,83,28,30,10,15,3
12,STT,State Street Corporation,$190.04,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.61,0.76,0.96,122.7%,93.9,83,28,30,10,15,1
13,NUE,Nucor,$263.97,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.34,0.9,0.88,121.1%,93.3,83,28,30,10,15,3
14,BNY,BNY Mellon,$162.04,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.22,1.31,1.01,118.1%,93.0,83,28,30,10,15,1
15,ABNB,Airbnb,$183.26,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.17,1.1,0.79,129.0%,92.8,83,28,30,10,15,2
16,IVZ,Invesco,$31.72,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.47,0.89,0.63,117.0%,92.6,83,28,30,10,15,2
17,INCY,Incyte,$128.83,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.61,1.03,1.95,122.3%,92.4,83,28,30,10,15,3
18,FCX,Freeport-McMoRan,$73.93,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.61,0.9,0.93,115.7%,92.0,83,28,30,10,15,4
19,MRK,Merck & Co.,$151.64,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.26,1.0,0.91,124.5%,91.8,83,28,30,10,15,1
20,JNJ,Johnson & Johnson,$275.21,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.66,1.0,1.31,113.8%,90.7,82,27,30,10,15,1
21,AMGN,Amgen,$442.84,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.21,0.94,0.97,122.3%,90.3,82,27,30,10,15,2
22,HPQ,HP Inc.,$31.99,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.41,1.09,1.02,141.8%,88.4,82,27,30,10,15,2
23,NTRS,Northern Trust,$183.98,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.42,0.83,0.96,112.3%,88.0,81,26,30,10,15,2
24,WELL,Welltower,$238.59,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.27,1.25,0.74,110.7%,87.5,81,26,30,10,15,2
25,EXPD,Expeditors International,$186.16,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.35,0.84,0.9,116.4%,86.3,81,26,30,10,15,2
26,TGT,Target Corporation,$163.36,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.23,0.84,0.7,127.3%,85.7,81,26,30,10,15,1
27,CTVA,Corteva,$89.97,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.59,1.49,1.58,112.4%,85.6,81,26,30,10,15,2
28,CNC,Centene Corporation,$67.34,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.59,1.34,1.06,127.1%,84.4,80,25,30,10,15,1
29,ABBV,AbbVie,$261.72,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.4,0.81,1.09,115.2%,83.5,80,25,30,10,15,2
30,VRTX,Vertex Pharmaceuticals,$556.75,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.27,0.97,2.36,118.5%,83.1,80,25,30,10,15,2
31,COP,ConocoPhillips,$137.20,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.56,1.08,0.94,117.0%,82.9,80,25,30,10,15,2
32,TRGP,Targa Resources,$293.46,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.35,1.1,0.89,115.5%,82.7,80,25,30,10,15,1
33,ZBRA,Zebra Technologies,$351.11,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.13,0.76,0.78,136.3%,82.5,80,25,30,10,15,1
34,NVDA,Nvidia,$224.41,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.46,1.02,1.43,112.0%,82.1,80,25,30,10,15,2
35,SJM,J.M. Smucker Company (The),$131.44,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.1,1.0,0.67,123.0%,81.7,80,25,30,10,15,2
36,LH,Labcorp,$331.66,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.17,0.99,1.13,119.1%,81.4,79,24,30,10,15,2
37,DGX,Quest Diagnostics,$240.80,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.23,1.14,1.41,116.9%,81.2,79,24,30,10,15,1
38,VTRS,Viatris,$17.09,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.46,0.95,1.2,110.9%,80.8,79,24,30,10,15,2
39,BIIB,Biogen,$222.67,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.51,0.89,1.61,113.9%,80.2,79,24,30,10,15,3
40,CVX,Chevron Corporation,$211.78,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.69,1.22,0.89,113.6%,80.0,79,24,30,10,15,2
41,TRV,Travelers Companies (The),$366.18,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.14,0.85,0.7,114.6%,79.8,79,24,30,10,15,1
42,BAC,Bank of America,$62.60,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.35,1.05,1.13,114.1%,78.7,79,24,30,10,15,2
43,NDSN,Nordson Corporation,$316.63,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.68,1.02,0.83,109.9%,78.5,79,24,30,10,15,2
44,AAPL,Apple Inc.,$324.96,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.4,0.89,0.64,112.9%,78.1,78,23,30,10,15,3
45,XOM,ExxonMobil,$164.15,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.55,0.96,0.99,109.1%,77.9,78,23,30,10,15,1
46,GM,General Motors,$84.87,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.12,1.05,1.1,106.2%,77.0,78,23,30,10,15,2
47,PM,Philip Morris International,$187.94,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.4,0.77,0.71,105.9%,76.0,78,23,30,10,15,2
48,ALL,Allstate,$259.34,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.14,0.89,1.02,115.4%,75.9,78,23,30,10,15,1
49,SWK,Stanley Black & Decker,$96.89,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.28,0.93,0.77,116.5%,74.1,77,22,30,10,15,2
50,BMY,Bristol Myers Squibb,$67.66,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.15,0.85,1.13,114.5%,74.0,77,22,30,10,15,2
51,KO,Coca-Cola Company (The),$88.24,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.25,1.2,1.25,109.8%,72.2,77,22,30,10,15,1
52,CPAY,Corpay,$416.40,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.25,0.91,1.04,120.7%,71.5,76,21,30,10,15,1
53,MET,MetLife,$96.42,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.38,0.82,1.06,117.4%,70.9,76,21,30,10,15,1
54,MRNA,Moderna,$150.81,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.33,1.07,0.64,248.7%,99.8,75,30,30,10,5,4
55,HPE,Hewlett Packard Enterprise,$51.83,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.29,2.08,3.12,142.9%,97.0,74,29,30,10,5,4
56,NTAP,NetApp,$180.77,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.24,1.25,1.68,132.4%,90.5,72,27,30,10,5,3
57,STLD,Steel Dynamics,$247.64,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.44,0.78,1.79,111.4%,87.8,71,26,30,10,5,2
58,F,Ford Motor Company,$14.14,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.32,1.04,1.16,106.3%,77.6,68,23,30,10,5,2
59,DELL,Dell Technologies,$492.20,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.75,2.92,2.3,169.6%,98.9,65,30,10,10,15,3
60,CAH,Cardinal Health,$245.49,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.0,0.74,1.02,112.6%,89.9,62,27,10,10,15,2
61,DE,Deere & Company,$698.37,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,2.09,1.74,0.88,118.1%,88.8,62,27,10,10,15,2
62,CF,CF Industries,$139.27,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.63,1.61,1.18,120.5%,86.9,61,26,10,10,15,2
63,ADM,Archer Daniels Midland,$85.38,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.9,1.16,0.87,114.1%,86.1,61,26,10,10,15,1
64,BBY,Best Buy,$87.00,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.97,1.57,1.62,123.4%,77.8,58,23,10,10,15,2
65,CRWD,CrowdStrike,$203.42,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.76,1.6,0.9,137.1%,96.2,54,29,10,10,5,4
