순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,HUM,Humana,$394.50,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.12,0.62,1.71,150.9%,94.4,98,28,30,25,15,2
2,HWM,Howmet Aerospace,$287.09,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.58,0.62,1.54,117.1%,93.9,98,28,30,25,15,2
3,ASML,ASML Holding,"$1,803.00",강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.32,0.61,1.09,121.7%,93.7,98,28,30,25,15,2
4,CASY,Casey's,$875.25,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.16,0.47,2.18,120.3%,92.9,98,28,30,25,15,2
5,WELL,Welltower,$247.05,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.12,0.7,1.34,119.8%,91.2,97,27,30,25,15,2
6,VTR,Ventas,$97.92,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.18,0.65,1.01,117.1%,89.3,97,27,30,25,15,2
7,ANET,Arista Networks,$176.61,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.43,0.57,1.29,119.8%,86.4,96,26,30,25,15,4
8,INCY,Incyte,$116.69,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.1,0.67,0.96,115.2%,85.8,96,26,30,25,15,3
9,AAPL,Apple Inc.,$321.66,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.4,0.68,1.05,115.8%,85.6,96,26,30,25,15,3
10,LLY,Lilly (Eli),"$1,185.87",강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.31,0.6,1.22,114.3%,85.4,96,26,30,25,15,2
11,CTVA,Corteva,$88.78,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.25,0.64,1.48,114.2%,82.7,95,25,30,25,15,2
12,ALL,Allstate,$254.52,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.12,0.68,1.03,119.0%,81.6,94,24,30,25,15,1
13,DOC,Healthpeak Properties,$22.08,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.2,0.6,1.43,123.6%,81.4,94,24,30,25,15,1
14,ROST,Ross Stores,$232.39,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.24,0.63,1.15,110.3%,81.2,94,24,30,25,15,1
15,JCI,Johnson Controls,$143.29,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.41,0.52,1.47,106.6%,81.0,94,24,30,25,15,2
16,FANG,Diamondback Energy,$205.49,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.48,0.7,1.26,114.6%,77.5,93,23,30,25,15,1
17,D,Dominion Energy,$71.46,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.44,0.53,1.32,113.2%,76.8,93,23,30,25,15,1
18,BG,Bunge Global,$122.30,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.21,0.59,0.89,105.2%,74.9,92,22,30,25,15,1
19,SPG,Simon Property Group,$225.20,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.16,0.65,1.06,113.9%,74.5,92,22,30,25,15,1
20,LYV,Live Nation Entertainment,$176.06,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),3,0.25,0.67,1.28,110.5%,72.9,92,22,30,25,15,3
21,FITB,Fifth Third Bancorp,$57.15,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.11,0.62,1.22,114.1%,72.6,92,22,30,25,15,2
22,BMY,Bristol Myers Squibb,$61.51,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.36,0.59,1.12,108.3%,70.2,91,21,30,25,15,2
23,AMAT,Applied Materials,$562.80,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.24,0.58,1.14,138.1%,96.9,89,29,30,25,5,3
24,DDOG,Datadog,$244.39,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.47,0.7,0.63,148.2%,95.8,89,29,30,25,5,2
25,CRWD,CrowdStrike,$183.42,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.64,0.69,0.71,139.5%,95.6,89,29,30,25,5,3
26,NTAP,NetApp,$164.64,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.21,0.47,1.01,136.9%,92.3,88,28,30,25,5,2
27,NUE,Nucor,$241.15,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.28,0.68,1.64,120.5%,82.0,85,25,30,25,5,2
28,MPC,Marathon Petroleum,$312.27,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.3,0.99,0.89,138.0%,96.2,84,29,30,10,15,3
