순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,DELL,Dell Technologies,$441.80,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.64,0.57,1.37,196.2%,98.7,100,30,30,25,15,2
2,HUM,Humana,$397.60,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.21,0.59,0.95,152.5%,95.0,98,28,30,25,15,2
3,ASML,ASML Holding,"$1,801.86",강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.28,0.7,0.6,122.1%,94.0,98,28,30,25,15,2
4,HWM,Howmet Aerospace,$280.70,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.41,0.51,1.18,114.8%,93.3,98,28,30,25,15,2
5,CASY,Casey's,$856.74,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.32,0.41,0.56,118.1%,91.9,98,28,30,25,15,2
6,WELL,Welltower,$245.04,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.15,0.69,0.75,119.0%,91.4,97,27,30,25,15,2
7,VTR,Ventas,$97.18,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.23,0.65,1.05,116.4%,89.4,97,27,30,25,15,2
8,ANET,Arista Networks,$174.87,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.42,0.63,0.53,118.9%,84.5,95,25,30,25,15,4
9,LLY,Lilly (Eli),"$1,163.01",강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.25,0.68,0.74,112.2%,83.9,95,25,30,25,15,2
10,DOC,Healthpeak Properties,$22.19,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.17,0.69,0.81,124.5%,82.9,95,25,30,25,15,1
11,CTVA,Corteva,$88.53,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.21,0.68,0.89,114.1%,82.0,95,25,30,25,15,2
12,ROST,Ross Stores,$238.21,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.23,0.63,0.75,113.2%,81.8,95,25,30,25,15,1
13,JCI,Johnson Controls,$142.49,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.31,0.49,0.93,106.2%,80.4,94,24,30,25,15,2
14,ALL,Allstate,$251.83,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.32,0.68,1.21,117.9%,79.8,94,24,30,25,15,1
15,BG,Bunge Global,$123.88,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.35,0.66,0.85,106.7%,78.1,93,23,30,25,15,1
16,MRK,Merck & Co.,$127.47,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.27,0.69,1.06,110.7%,77.7,93,23,30,25,15,1
17,SPG,Simon Property Group,$226.22,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.12,0.69,0.61,114.6%,76.2,93,23,30,25,15,1
18,FITB,Fifth Third Bancorp,$57.67,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.27,0.65,0.89,115.3%,75.4,93,23,30,25,15,2
19,FANG,Diamondback Energy,$203.02,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.52,0.65,1.0,113.4%,74.5,92,22,30,25,15,1
20,RL,Ralph Lauren Corporation,$387.14,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),3,0.27,0.67,0.99,106.2%,74.3,92,22,30,25,15,3
21,LYV,Live Nation Entertainment,$177.92,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),3,0.18,0.67,0.66,111.8%,73.9,92,22,30,25,15,3
22,HPE,Hewlett Packard Enterprise,$48.13,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.31,0.42,1.12,158.6%,97.3,89,29,30,25,5,2
23,NTAP,NetApp,$166.54,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.28,0.47,1.08,138.9%,92.5,88,28,30,25,5,2
24,APH,Amphenol,$157.51,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.35,0.65,0.93,110.1%,87.5,86,26,30,25,5,2
25,VLO,Valero Energy,$310.92,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.51,0.89,0.81,137.1%,96.7,84,29,30,10,15,3
26,MPC,Marathon Petroleum,$315.82,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.57,0.89,1.22,140.1%,96.5,84,29,30,10,15,3
27,PANW,Palo Alto Networks,$335.28,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.31,0.75,0.94,158.0%,96.4,84,29,30,10,15,3
28,FTNT,Fortinet,$155.05,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.32,0.75,0.82,150.4%,95.4,84,29,30,10,15,1
29,DVA,DaVita,$232.08,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.15,0.85,1.95,142.5%,94.6,83,28,30,10,15,1
30,CVS,CVS Health,$108.08,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.3,1.07,0.97,127.8%,92.9,83,28,30,10,15,2
31,STT,State Street Corporation,$185.24,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.23,0.94,1.31,129.5%,92.7,83,28,30,10,15,1
32,BNY,BNY Mellon,$160.39,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.56,0.99,0.98,124.1%,92.3,83,28,30,10,15,1
33,ADM,Archer Daniels Midland,$87.32,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.65,1.0,1.01,122.5%,91.6,82,27,30,10,15,1
