순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,HUM,Humana,$392.63,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.39,0.7,0.99,139.9%,93.5,98,28,30,25,15,2
2,STT,State Street Corporation,$193.37,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.64,0.54,0.92,126.3%,92.7,98,28,30,25,15,1
3,IVZ,Invesco,$33.31,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.32,0.66,0.73,123.5%,92.4,98,28,30,25,15,2
4,BNY,BNY Mellon,$162.24,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.48,0.68,1.13,119.3%,91.8,98,28,30,25,15,1
5,EXPD,Expeditors International,$190.72,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.22,0.61,1.17,119.9%,89.5,97,27,30,25,15,2
6,INCY,Incyte,$127.74,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.24,0.54,0.88,122.0%,88.7,97,27,30,25,15,3
7,ZBRA,Zebra Technologies,$361.11,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.07,0.68,0.81,141.8%,88.5,97,27,30,25,15,1
8,BEN,Franklin Resources,$34.82,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.35,0.53,1.19,118.5%,88.0,96,26,30,25,15,2
9,VRTX,Vertex Pharmaceuticals,$547.55,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.12,0.61,1.01,117.0%,83.0,95,25,30,25,15,2
10,CSX,CSX Corporation,$51.54,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.11,0.59,1.06,114.7%,81.9,95,25,30,25,15,1
11,VTR,Ventas,$92.89,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.11,0.68,0.7,107.6%,80.0,94,24,30,25,15,2
12,WAB,Wabtec,$297.28,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.08,0.67,0.92,112.7%,78.4,94,24,30,25,15,1
13,BIIB,Biogen,$221.50,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.41,0.48,0.77,114.0%,77.9,93,23,30,25,15,3
14,FDX,FedEx,$331.41,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.62,0.68,0.7,108.1%,75.8,93,23,30,25,15,1
15,PFG,Principal Financial Group,$112.17,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.29,0.59,1.22,111.3%,75.2,93,23,30,25,15,1
16,ALL,Allstate,$257.62,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.33,0.7,1.32,115.0%,74.6,92,22,30,25,15,1
17,GRMN,Garmin,$289.87,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.08,0.65,1.15,117.8%,73.7,92,22,30,25,15,2
18,FAST,Fastenal,$51.14,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.17,0.58,1.53,111.1%,73.5,92,22,30,25,15,1
19,MET,MetLife,$96.25,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.31,0.65,0.92,118.0%,72.5,92,22,30,25,15,1
20,DELL,Dell Technologies,$472.26,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.52,0.71,1.04,168.0%,98.5,85,30,30,10,15,3
21,VLO,Valero Energy,$346.59,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.19,0.75,0.91,137.4%,96.9,84,29,30,10,15,3
22,MPC,Marathon Petroleum,$363.54,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.17,1.07,1.45,143.7%,96.6,84,29,30,10,15,3
23,CRL,Charles River Laboratories,$296.41,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.07,1.11,0.73,150.0%,95.0,83,28,30,10,15,2
24,PSX,Phillips 66,$239.81,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.19,0.86,1.08,134.6%,94.3,83,28,30,10,15,2
25,FCX,Freeport-McMoRan,$78.42,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.32,1.12,0.82,123.4%,92.9,83,28,30,10,15,4
26,NTAP,NetApp,$190.64,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.22,0.74,1.25,142.0%,91.4,82,27,30,10,15,3
27,APA,APA Corporation,$42.38,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.42,0.81,1.03,119.8%,90.5,82,27,30,10,15,3
28,APH,Amphenol,$161.38,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.35,0.86,0.87,109.9%,90.1,82,27,30,10,15,2
29,NUE,Nucor,$252.37,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.22,0.71,0.84,116.9%,89.9,82,27,30,10,15,3
30,ABNB,Airbnb,$184.40,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.18,0.95,1.42,131.1%,89.7,82,27,30,10,15,2
31,ANET,Arista Networks,$201.09,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.55,0.73,0.61,127.9%,89.3,82,27,30,10,15,4
32,AMGN,Amgen,$436.99,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.13,0.83,0.77,121.5%,88.9,82,27,30,10,15,2
33,WELL,Welltower,$239.60,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.16,0.75,1.01,111.9%,87.0,81,26,30,10,15,2
34,NTRS,Northern Trust,$186.27,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.37,0.86,1.12,114.4%,86.8,81,26,30,10,15,2
35,S,[Trending] S,$22.71,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.57,1.38,3.42,141.1%,86.6,81,26,30,10,15,2
36,TGT,Target Corporation,$165.93,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.31,1.3,1.02,131.0%,86.3,81,26,30,10,15,1
37,JNJ,Johnson & Johnson,$265.77,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.53,0.87,1.01,110.5%,85.9,81,26,30,10,15,1
38,DGX,Quest Diagnostics,$244.61,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.03,0.82,1.04,119.7%,85.3,81,26,30,10,15,1
39,NDSN,Nordson Corporation,$330.84,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.16,0.87,0.78,115.3%,84.9,80,25,30,10,15,2
40,LH,Labcorp,$336.54,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.08,1.0,0.96,121.3%,84.5,80,25,30,10,15,2
41,RTX,RTX Corporation,$212.08,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.11,0.86,1.02,108.9%,83.8,80,25,30,10,15,2
42,TRGP,Targa Resources,$288.95,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.59,0.87,1.19,115.0%,82.3,80,25,30,10,15,1
43,TRV,Travelers Companies (The),$369.33,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.15,0.71,0.75,116.5%,80.5,79,24,30,10,15,1
44,SWK,Stanley Black & Decker,$99.24,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.11,0.74,0.92,120.0%,80.3,79,24,30,10,15,2
45,PH,Parker Hannifin,"$1,011.20",매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.33,1.08,1.25,106.6%,79.0,79,24,30,10,15,2
46,ABBV,AbbVie,$258.15,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.53,0.71,1.44,114.2%,77.7,78,23,30,10,15,2
47,AIZ,Assurant,$285.41,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.3,0.71,0.81,115.3%,77.3,78,23,30,10,15,2
48,NSC,Norfolk Southern,$347.93,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.26,0.75,2.09,111.6%,77.1,78,23,30,10,15,2
49,NWS,News Corp (Class B),$35.32,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.28,0.93,2.42,118.9%,76.7,78,23,30,10,15,1
50,NWSA,News Corp (Class A),$31.19,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.36,0.98,2.13,119.7%,76.5,78,23,30,10,15,1
51,UNP,Union Pacific Corporation,$307.67,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.2,0.81,0.88,115.5%,76.3,78,23,30,10,15,2
52,PM,Philip Morris International,$190.48,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.45,0.78,0.87,107.6%,75.4,78,23,30,10,15,2
53,KO,Coca-Cola Company (The),$89.06,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.5,0.89,0.78,111.5%,74.8,77,22,30,10,15,1
54,BAC,Bank of America,$61.17,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.32,1.03,2.19,112.1%,72.9,77,22,30,10,15,2
55,BDX,Becton Dickinson,$188.13,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.13,0.74,0.96,118.2%,71.9,77,22,30,10,15,2
56,CAH,Cardinal Health,$235.13,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.73,0.61,0.7,108.2%,85.7,76,26,10,25,15,2
57,GM,General Motors,$86.18,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.15,0.96,1.41,108.0%,71.4,76,21,30,10,15,2
58,DXCM,DexCom,$89.29,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.22,0.74,0.79,125.0%,70.8,76,21,30,10,15,1
59,LITE,Lumentum,$956.14,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.7,0.84,0.91,122.8%,99.8,75,30,30,10,5,4
60,HPE,Hewlett Packard Enterprise,$54.41,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.24,0.74,1.44,153.4%,97.3,74,29,30,10,5,4
61,CRWD,CrowdStrike,$227.96,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),4,1.26,1.75,1.72,156.4%,97.1,64,29,10,10,15,4
62,PANW,Palo Alto Networks,$382.85,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.8,0.91,1.59,158.6%,96.8,64,29,10,10,15,4
63,FTNT,Fortinet,$172.78,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.79,0.89,2.31,147.9%,93.9,63,28,10,10,15,1
64,IBKR,Interactive Brokers,$96.55,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.75,1.01,1.69,118.0%,91.6,62,27,10,10,15,3
65,MRK,Merck & Co.,$149.54,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.84,1.05,0.99,123.9%,87.8,61,26,10,10,15,1
66,RVTY,Revvity,$129.71,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.97,0.97,1.67,128.0%,83.2,60,25,10,10,15,2
67,NVDA,Nvidia,$227.98,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.81,1.58,1.66,114.3%,82.8,60,25,10,10,15,2
68,SJM,J.M. Smucker Company (The),$131.84,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.78,1.65,0.75,124.3%,82.1,60,25,10,10,15,2
69,FFIV,"F5, Inc.",$410.22,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.11,0.76,1.01,118.7%,81.5,59,24,10,10,15,1
70,MRNA,Moderna,$142.77,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.92,1.78,1.13,246.1%,99.2,55,30,10,10,5,4
