순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,BNY,BNY Mellon,$162.14,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.53,0.68,0.73,120.0%,92.4,98,28,30,25,15,1
2,INCY,Incyte,$127.98,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.55,0.66,0.58,122.8%,89.6,97,27,30,25,15,3
3,EXPD,Expeditors International,$187.83,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.14,0.64,0.79,118.5%,89.0,97,27,30,25,15,2
4,VRTX,Vertex Pharmaceuticals,$547.59,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.57,0.68,0.71,117.5%,79.2,94,24,30,25,15,2
5,FAST,Fastenal,$51.28,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.15,0.62,1.17,111.7%,76.6,93,23,30,25,15,1
6,BIIB,Biogen,$218.12,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.6,0.62,0.9,112.9%,74.5,92,22,30,25,15,3
7,PFG,Principal Financial Group,$111.89,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.44,0.58,0.8,111.5%,72.6,92,22,30,25,15,1
8,VTR,Ventas,$93.47,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.29,0.67,0.78,108.7%,72.4,92,22,30,25,15,2
9,ABCL,[Trending] ABCL,$10.61,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.5,0.69,1.45,206.8%,98.7,90,30,30,25,5,4
10,DELL,Dell Technologies,$433.19,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.58,0.62,1.18,158.0%,98.5,90,30,30,25,5,3
11,HPE,Hewlett Packard Enterprise,$52.43,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.38,0.58,1.33,150.7%,97.4,89,29,30,25,5,4
12,CAH,Cardinal Health,$232.37,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.58,0.69,1.01,107.2%,86.4,86,26,30,25,5,2
13,VLO,Valero Energy,$346.00,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.19,0.78,1.06,138.9%,97.0,84,29,30,10,15,3
14,MPC,Marathon Petroleum,$362.52,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.13,1.09,0.97,145.4%,96.8,84,29,30,10,15,3
15,PSX,Phillips 66,$241.96,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.1,1.0,0.87,137.4%,96.2,84,29,30,10,15,2
16,CRL,Charles River Laboratories,$298.58,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.51,1.0,0.89,152.3%,95.5,84,29,30,10,15,3
17,APA,APA Corporation,$42.96,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.37,1.13,0.94,122.6%,94.0,83,28,30,10,15,3
