순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,VLO,Valero Energy,$350.05,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.34,0.67,0.82,143.1%,97.5,99,29,30,25,15,3
2,HWM,Howmet Aerospace,$292.65,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.7,0.69,0.96,115.1%,93.2,98,28,30,25,15,2
3,ASML,ASML Holding,"$1,802.98",강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.36,0.66,1.17,116.2%,92.6,98,28,30,25,15,2
4,FTNT,Fortinet,$158.01,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.63,0.67,1.06,139.7%,92.2,98,28,30,25,15,1
5,STT,State Street Corporation,$191.87,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.21,0.58,0.66,127.7%,91.9,98,28,30,25,15,1
6,BNY,BNY Mellon,$163.93,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.14,0.57,0.87,122.2%,91.7,98,28,30,25,15,1
7,CASY,Casey's,$855.00,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.36,0.68,0.81,112.3%,87.9,96,26,30,25,15,2
8,C,Citigroup,$137.65,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.14,0.65,0.79,110.7%,87.5,96,26,30,25,15,2
9,BEN,Franklin Resources,$33.99,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.25,0.63,0.71,117.5%,85.4,96,26,30,25,15,2
10,EXPD,Expeditors International,$185.95,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.2,0.59,0.88,117.9%,84.8,95,25,30,25,15,2
11,CFG,Citizens Financial Group,$73.46,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.34,0.6,0.96,114.0%,83.9,95,25,30,25,15,2
12,DGX,Quest Diagnostics,$236.25,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.1,0.64,1.13,117.2%,83.5,95,25,30,25,15,1
13,JCI,Johnson Controls,$149.68,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.58,0.7,1.71,108.3%,83.0,95,25,30,25,15,2
