순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,EXPD,Expeditors International,$187.13,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.33,0.7,1.1,116.9%,86.8,96,26,30,25,15,2
2,TGT,Target Corporation,$164.01,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.16,0.7,0.71,127.4%,84.9,95,25,30,25,15,1
3,AIZ,Assurant,$287.71,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.44,0.65,0.96,115.8%,76.9,93,23,30,25,15,2
4,BMY,Bristol Myers Squibb,$68.09,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.24,0.65,0.8,115.0%,73.6,92,22,30,25,15,2
5,DXCM,DexCom,$89.71,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.09,0.41,0.87,124.6%,72.3,92,22,30,25,15,1
6,CCEP,Coca-Cola Europacific Partners,$109.15,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.37,0.68,0.72,109.6%,71.3,91,21,30,25,15,2
7,MU,Micron Technology,$958.16,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.22,0.67,1.13,135.7%,99.8,90,30,30,25,5,4
8,ANET,Arista Networks,$191.44,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.32,0.62,0.94,120.5%,90.1,87,27,30,25,5,4
9,MPC,Marathon Petroleum,$387.71,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.37,0.98,0.89,149.2%,97.7,84,29,30,10,15,3
10,VLO,Valero Energy,$370.69,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.37,1.04,0.89,143.5%,97.5,84,29,30,10,15,3
11,CRWD,CrowdStrike,$214.97,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.68,1.37,0.97,144.2%,96.7,84,29,30,10,15,4
12,PSX,Phillips 66,$254.66,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.35,1.08,0.94,140.0%,96.6,84,29,30,10,15,2
13,CRL,Charles River Laboratories,$293.35,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.17,0.72,1.07,146.7%,95.8,84,29,30,10,15,2
14,STT,State Street Corporation,$193.94,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.67,0.71,1.35,124.9%,95.2,84,29,30,10,15,1
15,BNY,BNY Mellon,$164.33,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.42,0.96,0.82,119.5%,93.9,83,28,30,10,15,1
16,IVZ,Invesco,$32.71,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.38,0.83,1.15,120.5%,93.7,83,28,30,10,15,2
17,NUE,Nucor,$262.47,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.42,0.84,0.91,120.1%,93.1,83,28,30,10,15,3
18,APA,APA Corporation,$44.18,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.29,0.79,0.85,122.8%,92.9,83,28,30,10,15,3
19,MRK,Merck & Co.,$152.34,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.3,0.85,0.72,124.7%,91.8,83,28,30,10,15,1
20,INCY,Incyte,$128.00,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.59,0.92,0.39,121.3%,91.0,82,27,30,10,15,3
21,NTRS,Northern Trust,$187.45,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.48,0.8,0.74,114.2%,90.6,82,27,30,10,15,2
22,AMGN,Amgen,$444.12,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.25,0.87,0.81,122.4%,90.4,82,27,30,10,15,2
23,FCX,Freeport-McMoRan,$72.56,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.46,0.84,0.94,113.5%,89.7,82,27,30,10,15,4
24,ABNB,Airbnb,$185.25,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.16,0.9,1.46,130.1%,89.5,82,27,30,10,15,2
25,C,Citigroup,$138.14,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.7,0.86,1.64,109.8%,89.3,82,27,30,10,15,2
26,WELL,Welltower,$241.12,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.33,0.95,0.92,111.6%,87.8,81,26,30,10,15,2
27,MS,Morgan Stanley,$217.15,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.48,0.73,1.07,112.0%,87.6,81,26,30,10,15,2
28,ZBRA,Zebra Technologies,$357.50,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.11,0.72,0.81,138.3%,85.7,81,26,30,10,15,1
29,HPQ,HP Inc.,$31.93,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.37,0.96,0.91,140.9%,85.3,81,26,30,10,15,2
30,ADM,Archer Daniels Midland,$84.38,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.67,0.91,0.75,112.5%,84.7,80,25,30,10,15,1
31,TRGP,Targa Resources,$293.54,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.27,0.86,0.78,115.3%,83.6,80,25,30,10,15,1
32,NVDA,Nvidia,$228.45,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.48,1.04,0.86,113.9%,83.4,80,25,30,10,15,2
33,CTVA,Corteva,$88.62,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.5,1.45,0.63,110.6%,83.2,80,25,30,10,15,2
34,VRTX,Vertex Pharmaceuticals,$557.96,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.32,0.88,0.46,118.6%,81.8,80,25,30,10,15,2
35,GM,General Motors,$87.22,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.18,0.88,0.89,109.2%,81.6,79,24,30,10,15,2
36,TRV,Travelers Companies (The),$374.34,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.24,0.8,1.37,116.9%,81.5,79,24,30,10,15,1
37,BIIB,Biogen,$224.51,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.64,0.83,0.43,114.7%,81.1,79,24,30,10,15,3
38,ABBV,AbbVie,$260.21,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.41,0.73,0.68,114.4%,80.9,79,24,30,10,15,2
39,LH,Labcorp,$331.50,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.14,0.83,0.81,118.8%,79.9,79,24,30,10,15,2
40,JPM,JPMorgan Chase,$362.06,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.33,0.78,1.01,113.8%,79.5,79,24,30,10,15,2
41,DGX,Quest Diagnostics,$239.40,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.18,1.02,0.91,116.0%,79.2,79,24,30,10,15,1
42,VTRS,Viatris,$16.94,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.47,0.79,1.03,109.7%,78.8,79,24,30,10,15,2
43,COP,ConocoPhillips,$135.72,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.44,0.89,0.83,115.5%,78.6,79,24,30,10,15,2
44,NDSN,Nordson Corporation,$317.49,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.36,0.83,0.66,110.0%,78.4,79,24,30,10,15,2
45,CVX,Chevron Corporation,$211.32,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.57,0.99,0.88,113.2%,78.2,78,23,30,10,15,2
46,BAC,Bank of America,$63.04,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.32,0.9,1.05,114.8%,78.0,78,23,30,10,15,2
47,AAPL,Apple Inc.,$328.21,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.39,0.86,1.1,113.8%,77.8,78,23,30,10,15,3
48,ALL,Allstate,$263.11,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.26,0.72,1.22,116.8%,77.4,78,23,30,10,15,1
49,CPAY,Corpay,$419.68,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.35,0.93,0.92,121.5%,76.5,78,23,30,10,15,1
50,SJM,J.M. Smucker Company (The),$128.51,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.32,0.99,1.05,120.0%,76.1,78,23,30,10,15,2
51,CAH,Cardinal Health,$248.61,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.34,0.7,1.02,113.9%,91.2,77,27,10,25,15,2
52,XOM,ExxonMobil,$162.21,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.46,0.86,1.22,107.7%,73.8,77,22,30,10,15,1
53,KO,Coca-Cola Company (The),$88.81,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.23,0.99,0.74,110.4%,70.7,76,21,30,10,15,1
54,SWK,Stanley Black & Decker,$96.50,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.2,0.9,1.02,115.8%,70.0,76,21,30,10,15,2
55,MRNA,Moderna,$148.87,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.28,0.97,0.8,242.7%,99.6,75,30,30,10,5,4
56,LITE,Lumentum,$847.37,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),4,0.31,0.72,1.18,106.4%,99.2,75,30,30,10,5,4
57,HPE,Hewlett Packard Enterprise,$54.44,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.29,2.69,1.19,149.2%,97.3,74,29,30,10,5,4
58,P,[Trending] P,$98.15,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.13,0.88,1.03,129.2%,93.3,73,28,30,10,5,2
59,NTAP,NetApp,$185.38,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.15,1.66,1.57,135.2%,92.0,73,28,30,10,5,3
60,STLD,Steel Dynamics,$246.03,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.52,0.77,0.75,110.5%,86.0,71,26,30,10,5,2
61,F,Ford Motor Company,$14.41,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.68,1.03,0.7,108.3%,80.1,69,24,30,10,5,2
62,DELL,Dell Technologies,$516.39,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),4,1.08,3.37,0.55,176.3%,98.7,65,30,10,10,15,4
63,HUM,Humana,$406.52,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.73,0.77,0.68,142.0%,95.4,64,29,10,10,15,2
64,IBKR,Interactive Brokers,$92.95,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,1.29,1.13,1.21,112.9%,92.4,63,28,10,10,15,3
65,JNJ,Johnson & Johnson,$278.43,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.81,0.91,0.75,115.0%,91.4,62,27,10,10,15,1
66,DE,Deere & Company,$694.41,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.87,1.68,0.83,117.2%,88.9,62,27,10,10,15,2
67,CF,CF Industries,$137.81,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.55,1.47,0.5,118.9%,88.1,61,26,10,10,15,2
68,PFG,Principal Financial Group,$118.51,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,2.0,1.46,3.29,117.6%,85.5,61,26,10,10,15,1
69,CNC,Centene Corporation,$68.02,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.85,0.96,0.74,128.0%,83.0,60,25,10,10,15,1
70,LNG,[Trending] LNG,$290.85,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.77,1.42,0.94,115.2%,77.6,58,23,10,10,15,2
71,MET,MetLife,$99.23,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.81,0.89,1.28,120.6%,77.2,58,23,10,10,15,1
72,BBY,Best Buy,$87.49,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.34,1.36,0.45,123.8%,75.9,58,23,10,10,15,2
73,USB,U.S. Bancorp,$63.53,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.99,0.92,0.77,110.6%,71.7,57,22,10,10,15,2
74,XYZ,"Block, Inc.",$83.37,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.09,1.0,0.55,119.0%,71.5,56,21,10,10,15,2
