순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,HUM,Humana,$403.09,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.33,0.61,0.96,139.4%,94.7,98,28,30,25,15,2
2,IVZ,Invesco,$32.34,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.41,0.65,0.84,118.8%,92.4,98,28,30,25,15,2
3,INCY,Incyte,$124.40,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.43,0.68,1.24,117.6%,89.2,97,27,30,25,15,3
4,ANET,Arista Networks,$194.96,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.28,0.64,1.13,122.2%,88.3,96,26,30,25,15,4
5,EXPD,Expeditors International,$185.96,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.19,0.69,1.74,115.9%,88.1,96,26,30,25,15,2
6,TGT,Target Corporation,$162.71,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.07,0.6,0.93,125.6%,86.7,96,26,30,25,15,1
7,MS,Morgan Stanley,$216.24,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.63,0.7,1.1,111.3%,85.0,96,26,30,25,15,2
8,TRGP,Targa Resources,$294.29,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.17,0.64,1.51,115.0%,83.9,95,25,30,25,15,1
9,ZBRA,Zebra Technologies,$352.54,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.14,0.63,1.42,135.6%,83.3,95,25,30,25,15,1
10,WAB,Wabtec,$284.45,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.14,0.69,1.51,106.8%,70.6,91,21,30,25,15,1
11,MRNA,Moderna,$140.33,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.17,0.66,0.69,224.0%,99.1,90,30,30,25,5,4
12,NET,[Trending] NET,$284.30,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.3,0.69,1.33,122.3%,93.4,88,28,30,25,5,4
13,KEYS,Keysight Technologies,$333.42,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.34,0.61,1.68,105.1%,86.2,86,26,30,25,5,2
14,LITE,Lumentum,$978.53,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.61,1.01,2.08,121.9%,99.8,85,30,30,10,15,4
15,VLO,Valero Energy,$382.85,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.41,1.03,0.96,146.7%,97.7,84,29,30,10,15,3
16,MPC,Marathon Petroleum,$397.77,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.23,0.84,0.98,151.3%,97.5,84,29,30,10,15,3
17,PSX,Phillips 66,$259.14,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.16,0.94,1.1,141.3%,96.6,84,29,30,10,15,2
18,CRL,Charles River Laboratories,$280.76,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.2,0.78,0.99,139.8%,94.5,83,28,30,10,15,2
19,APH,Amphenol,$81.76,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.26,0.84,0.9,111.0%,93.0,83,28,30,10,15,2
20,FCX,Freeport-McMoRan,$76.62,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.36,0.83,2.31,119.5%,92.8,83,28,30,10,15,4
21,BNY,BNY Mellon,$162.85,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.61,0.79,1.02,117.9%,92.6,83,28,30,10,15,1
22,NTAP,NetApp,$189.13,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.2,1.47,1.11,136.7%,91.7,83,28,30,10,15,3
23,NUE,Nucor,$256.40,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.32,0.75,1.71,116.7%,91.3,82,27,30,10,15,3
24,APA,APA Corporation,$43.55,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.23,0.76,1.04,120.3%,90.5,82,27,30,10,15,3
25,MRK,Merck & Co.,$148.46,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.19,0.74,2.55,121.0%,90.3,82,27,30,10,15,1
26,JNJ,Johnson & Johnson,$269.12,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.52,0.84,1.87,110.9%,89.0,82,27,30,10,15,1
27,WELL,Welltower,$237.25,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.36,0.84,1.24,109.5%,88.6,82,27,30,10,15,2
28,NTRS,Northern Trust,$184.88,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.52,0.8,1.42,112.9%,88.4,82,27,30,10,15,2
29,HPQ,HP Inc.,$31.17,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.26,0.94,1.18,136.6%,87.1,81,26,30,10,15,2
30,ADM,Archer Daniels Midland,$84.50,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.14,0.9,2.18,112.3%,86.9,81,26,30,10,15,1
31,DE,Deere & Company,$680.73,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.54,1.01,0.84,114.5%,86.6,81,26,30,10,15,2
32,NVDA,Nvidia,$225.73,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.51,1.02,0.91,112.2%,86.0,81,26,30,10,15,2
33,GILD,Gilead Sciences,$146.64,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.34,0.91,0.98,107.3%,85.2,81,26,30,10,15,1
34,CF,CF Industries,$134.33,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.58,1.0,0.9,115.4%,84.7,80,25,30,10,15,2
35,DGX,Quest Diagnostics,$235.50,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.17,0.86,0.91,113.8%,83.5,80,25,30,10,15,1
36,TRV,Travelers Companies (The),$365.66,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.27,0.72,1.08,113.8%,82.8,80,25,30,10,15,1
