순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,BNY,BNY Mellon,$158.49,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.59,0.66,1.13,117.5%,90.2,97,27,30,25,15,1
2,EXPD,Expeditors International,$187.81,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.15,0.62,1.34,118.6%,87.7,96,26,30,25,15,2
3,FAST,Fastenal,$51.26,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.17,0.64,0.94,111.8%,76.1,93,23,30,25,15,1
4,CPAY,Corpay,$417.13,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.23,0.62,0.82,122.7%,73.7,92,22,30,25,15,1
5,NWS,News Corp (Class B),$34.55,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.48,0.65,1.15,116.8%,72.9,92,22,30,25,15,1
6,MU,Micron Technology,$966.78,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.31,0.57,0.86,143.5%,99.6,90,30,30,25,5,4
7,HPE,Hewlett Packard Enterprise,$53.45,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.66,0.7,0.71,154.6%,97.2,89,29,30,25,5,4
8,VLO,Valero Energy,$348.86,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.18,0.77,0.84,140.7%,96.8,84,29,30,10,15,3
9,MPC,Marathon Petroleum,$360.72,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.15,1.06,0.77,145.5%,96.6,84,29,30,10,15,3
10,CRL,Charles River Laboratories,$295.19,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.49,1.05,0.84,151.0%,95.6,84,29,30,10,15,3
11,PSX,Phillips 66,$242.87,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.13,1.08,0.85,138.5%,95.3,84,29,30,10,15,2
12,NTAP,NetApp,$192.27,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.56,0.83,0.74,145.9%,94.5,83,28,30,10,15,3
13,APA,APA Corporation,$43.39,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.65,1.28,1.05,124.2%,93.6,83,28,30,10,15,3
14,ABNB,Airbnb,$187.30,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.47,1.11,0.76,134.6%,91.9,83,28,30,10,15,2
15,BAX,Baxter International,$26.34,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.14,0.63,1.24,129.8%,75.9,83,23,30,25,5,1
16,AMGN,Amgen,$439.33,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.66,1.0,0.73,123.2%,90.5,82,27,30,10,15,2
17,INCY,Incyte,$127.81,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.66,0.78,1.13,122.8%,90.0,82,27,30,10,15,3
18,IBKR,Interactive Brokers,$93.87,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.68,0.91,1.66,115.5%,89.6,82,27,30,10,15,3
19,IVZ,Invesco,$32.02,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.27,0.75,0.69,119.3%,89.0,82,27,30,10,15,2
20,BEN,Franklin Resources,$34.31,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.18,0.97,1.83,117.8%,87.3,81,26,30,10,15,2
21,GRMN,Garmin,$294.85,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.21,1.01,0.79,120.9%,87.1,81,26,30,10,15,3
22,DXCM,DexCom,$92.34,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.25,1.14,0.67,130.1%,85.4,81,26,30,10,15,1
23,SCHW,Charles Schwab Corporation,$112.30,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.21,0.82,1.04,116.8%,85.2,81,26,30,10,15,2
24,DGX,Quest Diagnostics,$244.39,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.3,1.13,1.11,120.5%,84.8,80,25,30,10,15,1
25,LH,Labcorp,$336.34,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.39,0.96,1.08,122.1%,84.7,80,25,30,10,15,2
26,WELL,Welltower,$239.22,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.25,0.88,1.17,112.5%,84.5,80,25,30,10,15,2
27,ETSY,[Trending] ETSY,$81.03,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.31,0.8,0.77,124.9%,83.7,80,25,30,10,15,2
28,KO,Coca-Cola Company (The),$91.10,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.69,0.9,1.04,114.8%,80.3,79,24,30,10,15,1
29,URI,United Rentals,"$1,098.51",매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.65,1.0,0.87,116.5%,79.9,79,24,30,10,15,3
30,RTX,RTX Corporation,$209.91,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.55,1.08,0.97,108.0%,79.2,79,24,30,10,15,2
31,SWK,Stanley Black & Decker,$100.02,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.13,0.88,1.03,121.6%,79.0,79,24,30,10,15,2
32,CSX,CSX Corporation,$51.59,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.37,0.82,1.66,115.9%,78.4,79,24,30,10,15,1
33,BDX,Becton Dickinson,$192.00,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.58,1.05,1.28,121.3%,77.1,78,23,30,10,15,2
34,GM,General Motors,$87.93,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.31,0.76,1.07,110.4%,76.5,78,23,30,10,15,2
35,NVDA,Nvidia,$214.72,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.46,0.77,1.07,108.1%,76.3,78,23,30,10,15,2
36,BAC,Bank of America,$61.69,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.66,0.98,0.95,113.6%,74.8,77,22,30,10,15,2
37,NSC,Norfolk Southern,$350.72,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.47,1.22,0.51,113.2%,73.9,77,22,30,10,15,2
38,WAB,Wabtec,$297.57,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.2,0.91,1.37,113.5%,73.3,77,22,30,10,15,1
39,ADM,Archer Daniels Midland,$80.30,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.2,1.0,1.17,108.5%,72.7,77,22,30,10,15,1
40,EOG,EOG Resources,$153.05,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.45,0.89,1.29,115.8%,72.5,77,22,30,10,15,2
41,TRV,Travelers Companies (The),$363.58,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.09,0.96,1.13,115.6%,72.2,77,22,30,10,15,1
42,ROST,Ross Stores,$239.04,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.23,1.92,1.1,108.9%,71.8,77,22,30,10,15,2
43,AIZ,Assurant,$284.04,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.29,1.15,1.33,115.4%,70.8,76,21,30,10,15,2
44,FANG,Diamondback Energy,$210.72,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.2,0.94,0.63,113.4%,70.3,76,21,30,10,15,1
45,PANW,Palo Alto Networks,$357.87,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.67,0.78,1.08,151.1%,96.4,74,29,30,10,5,4
46,ANET,Arista Networks,$188.65,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.69,0.75,1.93,121.3%,90.3,72,27,30,10,5,4
47,BIIB,Biogen,$216.78,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.76,0.66,0.89,112.4%,74.6,72,22,10,25,15,3
48,FCX,Freeport-McMoRan,$76.66,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),4,1.27,1.44,1.61,121.6%,92.6,63,28,10,10,15,4
49,STT,State Street Corporation,$187.13,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.71,0.75,1.15,123.6%,91.7,63,28,10,10,15,1
50,MRK,Merck & Co.,$152.55,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,3.33,2.16,0.98,127.7%,89.2,62,27,10,10,15,1
51,TGT,Target Corporation,$165.44,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.87,1.67,1.03,132.3%,87.5,61,26,10,10,15,1
52,TRGP,Targa Resources,$299.10,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.14,1.49,0.88,120.4%,86.7,61,26,10,10,15,1
53,NTRS,Northern Trust,$183.90,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.97,1.06,1.2,113.7%,86.4,61,26,10,10,15,2
54,JNJ,Johnson & Johnson,$270.24,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.8,0.88,0.95,112.5%,86.0,61,26,10,10,15,1
55,NDSN,Nordson Corporation,$332.24,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.75,2.21,0.56,116.5%,84.3,60,25,10,10,15,2
56,LLY,Lilly (Eli),"$1,255.40",매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.21,1.14,0.95,119.0%,82.8,60,25,10,10,15,2
57,CF,CF Industries,$129.60,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.81,1.3,1.18,114.3%,82.4,60,25,10,10,15,1
58,VRTX,Vertex Pharmaceuticals,$548.05,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.98,0.74,1.01,117.8%,80.5,59,24,10,10,15,2
59,ABBV,AbbVie,$264.96,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.09,0.76,0.98,117.9%,79.7,59,24,10,10,15,2
60,RVTY,Revvity,$124.75,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,2.46,1.39,0.98,123.5%,77.8,58,23,10,10,15,2
61,DE,Deere & Company,$647.47,매수,Stage 2A (돌파 초입 우량),2차 타점 (피벗 거래량 돌파),1,1.62,2.0,0.75,110.8%,75.0,57,22,10,10,15,1
62,PH,Parker Hannifin,"$1,001.74",매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.78,1.04,0.97,105.9%,72.3,57,22,10,10,15,2
63,LITE,Lumentum,$866.71,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.76,0.84,0.86,113.4%,99.2,55,30,10,10,5,4
64,MRNA,Moderna,$145.13,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,5.79,8.11,0.88,262.4%,99.1,55,30,10,10,5,4
65,DELL,Dell Technologies,$442.08,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.82,0.75,1.01,162.5%,98.3,54,29,10,10,5,3
