순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,BNY,BNY Mellon,$157.24,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.54,0.61,0.95,116.8%,89.3,97,27,30,25,15,1
2,BEN,Franklin Resources,$33.97,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.13,0.67,1.09,116.9%,86.9,96,26,30,25,15,2
3,EXPD,Expeditors International,$186.40,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.14,0.55,1.04,117.9%,86.7,96,26,30,25,15,2
4,FAST,Fastenal,$50.66,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.2,0.67,0.81,110.7%,75.6,93,23,30,25,15,1
5,GM,General Motors,$86.15,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.24,0.67,1.04,108.3%,74.3,92,22,30,25,15,2
6,WST,West Pharmaceutical Services,$353.77,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.35,0.61,1.15,119.9%,72.2,92,22,30,25,15,2
7,NWS,News Corp (Class B),$33.78,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.29,0.62,0.82,114.3%,70.5,91,21,30,25,15,1
8,MU,Micron Technology,$974.33,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.28,0.67,0.94,145.6%,99.4,90,30,30,25,5,4
9,VLO,Valero Energy,$341.51,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.19,0.74,0.98,138.3%,96.8,84,29,30,10,15,3
10,MPC,Marathon Petroleum,$358.23,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.18,1.04,1.21,145.2%,96.6,84,29,30,10,15,3
11,CRL,Charles River Laboratories,$291.45,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.52,0.97,1.07,149.4%,95.6,84,29,30,10,15,3
12,PSX,Phillips 66,$240.00,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.3,1.13,1.04,137.4%,95.4,84,29,30,10,15,2
13,NTAP,NetApp,$192.81,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.61,0.93,0.8,146.9%,94.5,83,28,30,10,15,3
14,ABNB,Airbnb,$185.00,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.68,1.12,1.15,133.3%,92.0,83,28,30,10,15,2
15,IVZ,Invesco,$31.36,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.29,0.81,1.37,116.9%,88.2,81,26,30,10,15,2
16,GRMN,Garmin,$293.09,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.3,1.12,0.72,120.5%,85.9,81,26,30,10,15,3
17,TGT,Target Corporation,$158.25,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.56,1.66,0.64,126.9%,85.7,81,26,30,10,15,1
18,DXCM,DexCom,$90.22,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.11,1.13,0.6,127.4%,84.8,80,25,30,10,15,1
19,LH,Labcorp,$332.81,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.39,0.87,1.41,121.0%,84.6,80,25,30,10,15,3
20,DGX,Quest Diagnostics,$241.30,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.28,0.96,1.23,119.2%,84.4,80,25,30,10,15,1
21,SCHW,Charles Schwab Corporation,$109.79,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.14,0.82,1.02,114.3%,83.4,80,25,30,10,15,2
22,RTX,RTX Corporation,$212.29,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.42,1.17,0.79,109.3%,82.9,80,25,30,10,15,2
23,WELL,Welltower,$237.40,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.12,0.74,1.18,111.9%,81.9,80,25,30,10,15,2
24,KO,Coca-Cola Company (The),$90.50,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.64,0.84,0.93,114.2%,79.8,79,24,30,10,15,1
25,SWK,Stanley Black & Decker,$98.85,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.31,0.91,0.79,120.3%,78.5,79,24,30,10,15,2
26,BAC,Bank of America,$61.86,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.6,0.93,1.45,114.1%,77.7,78,23,30,10,15,2
27,NVDA,Nvidia,$216.85,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.51,0.78,0.96,109.3%,76.6,78,23,30,10,15,2
28,STT,State Street Corporation,$183.07,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.71,0.66,0.83,121.2%,89.1,77,27,10,25,15,1
29,ADM,Archer Daniels Midland,$81.70,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.23,0.95,0.97,110.5%,75.0,77,22,30,10,15,1
30,CPAY,Corpay,$412.00,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.23,0.71,1.23,121.4%,74.1,77,22,30,10,15,1
31,BDX,Becton Dickinson,$187.62,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.43,0.91,0.91,118.7%,73.9,77,22,30,10,15,2
32,TRV,Travelers Companies (The),$364.49,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.14,1.01,0.56,116.1%,73.7,77,22,30,10,15,1
33,CSX,CSX Corporation,$50.97,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.23,0.71,0.83,114.8%,72.8,77,22,30,10,15,1
34,PM,Philip Morris International,$191.52,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.44,1.13,1.12,108.6%,72.6,77,22,30,10,15,2
35,EOG,EOG Resources,$152.19,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.59,0.77,0.95,115.4%,71.0,76,21,30,10,15,2
36,SLS,[Trending] SLS,$13.40,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.28,0.83,0.86,181.6%,99.6,75,30,30,10,5,4
37,MRVL,Marvell Technology,$251.01,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.4,1.27,0.66,153.7%,97.9,74,29,30,10,5,2
38,BIIB,Biogen,$214.35,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),3,0.81,0.65,0.91,111.3%,71.8,72,22,10,25,15,3
39,BAX,Baxter International,$26.41,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.18,0.74,0.7,130.4%,80.2,69,24,30,10,5,1
40,CF,CF Industries,$125.70,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.49,1.11,1.41,111.1%,76.0,68,23,30,10,5,1
41,APA,APA Corporation,$44.39,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.96,1.25,0.72,127.5%,94.3,63,28,10,10,15,3
42,INCY,Incyte,$127.22,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.81,0.74,0.76,122.4%,90.1,62,27,10,10,15,3
43,AMGN,Amgen,$433.73,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.78,1.06,1.15,121.2%,89.0,62,27,10,10,15,2
