순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,DDOG,Datadog,$251.86,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.26,0.55,1.22,151.4%,96.7,99,29,30,25,15,2
2,BNY,BNY Mellon,$157.77,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.23,0.69,1.19,121.7%,93.2,98,28,30,25,15,1
3,CASY,Casey's,$853.38,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.18,0.48,0.78,117.0%,93.1,98,28,30,25,15,2
4,ROST,Ross Stores,$243.35,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.43,0.68,1.38,115.2%,88.8,97,27,30,25,15,2
5,MNST,Monster Beverage,$95.33,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.26,0.7,0.98,115.0%,87.5,96,26,30,25,15,2
6,ALL,Allstate,$261.27,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.26,0.7,0.81,121.9%,84.7,95,25,30,25,15,1
7,JCI,Johnson Controls,$143.39,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.44,0.58,1.03,106.6%,83.6,95,25,30,25,15,2
8,LLY,Lilly (Eli),"$1,197.53",강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.29,0.62,0.8,115.2%,80.5,94,24,30,25,15,2
9,SPG,Simon Property Group,$231.67,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.29,0.5,0.71,117.0%,78.6,94,24,30,25,15,1
10,MRK,Merck & Co.,$130.76,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.41,0.66,1.12,112.9%,74.1,92,22,30,25,15,1
11,ETR,Entergy,$113.76,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.58,0.69,0.84,107.2%,73.6,92,22,30,25,15,1
12,LYV,Live Nation Entertainment,$179.40,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.15,0.66,1.22,112.2%,73.2,92,22,30,25,15,3
13,WSM,"Williams-Sonoma, Inc.",$234.39,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.52,0.62,1.06,117.3%,72.2,92,22,30,25,15,2
14,HPE,Hewlett Packard Enterprise,$48.19,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.17,0.4,1.21,156.4%,97.9,89,29,30,25,5,2
15,CRWD,CrowdStrike,$180.11,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.37,0.52,1.14,136.2%,95.8,89,29,30,25,5,3
16,FTNT,Fortinet,$152.38,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.38,0.67,1.7,145.8%,95.6,89,29,30,25,5,1
17,PANW,Palo Alto Networks,$317.32,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.34,0.67,1.02,147.6%,95.4,89,29,30,25,5,3
18,NTAP,NetApp,$169.80,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.34,0.5,0.99,140.7%,94.6,88,28,30,25,5,2
19,MPC,Marathon Petroleum,$312.35,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.29,1.02,1.03,137.4%,97.3,84,29,30,10,15,3
20,VLO,Valero Energy,$304.93,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.37,0.79,0.99,133.3%,97.1,84,29,30,10,15,3
21,DVA,DaVita,$236.31,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.13,0.89,1.3,143.7%,96.1,84,29,30,10,15,1
22,HWM,Howmet Aerospace,$287.94,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.43,0.81,1.25,116.8%,95.2,84,29,30,10,15,2
23,ANET,Arista Networks,$170.76,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.23,0.62,1.28,115.3%,80.3,84,24,30,25,5,4
24,STT,State Street Corporation,$184.66,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.15,0.79,0.84,128.4%,94.2,83,28,30,10,15,1
25,PSX,Phillips 66,$207.82,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.35,1.05,0.51,126.3%,93.8,83,28,30,10,15,2
26,CVS,CVS Health,$107.07,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.26,0.78,1.46,126.4%,93.6,83,28,30,10,15,2
27,WELL,Welltower,$248.34,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.11,0.71,0.92,120.2%,92.7,83,28,30,10,15,2
28,TRV,Travelers Companies (The),$390.35,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.48,1.03,0.6,129.1%,92.1,83,28,30,10,15,1
29,IBKR,Interactive Brokers,$92.27,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.33,0.91,1.2,117.6%,91.5,82,27,30,10,15,3
30,GE,GE Aerospace,$361.61,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.43,0.74,1.3,113.6%,91.3,82,27,30,10,15,2
31,VTR,Ventas,$100.11,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.31,0.8,1.38,119.5%,90.5,82,27,30,10,15,2
32,IVZ,Invesco,$30.11,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.33,1.02,2.06,113.8%,90.2,82,27,30,10,15,2
33,NUE,Nucor,$247.86,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.46,0.94,1.23,123.1%,90.0,82,27,30,10,15,2
34,FFIV,"F5, Inc.",$407.96,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.66,1.4,2.87,125.9%,89.6,82,27,30,10,15,2
35,AAPL,Apple Inc.,$336.91,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.53,0.78,1.04,120.9%,89.4,82,27,30,10,15,3
36,JNJ,Johnson & Johnson,$265.95,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.44,0.92,1.52,114.1%,88.6,82,27,30,10,15,1
37,MGM,MGM Resorts,$46.30,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.38,0.48,1.05,117.5%,73.0,82,22,30,25,5,2
38,ADM,Archer Daniels Midland,$83.19,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.62,0.96,1.45,116.1%,88.0,81,26,30,10,15,1
39,EBAY,eBay Inc.,$113.21,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.6,1.09,1.2,114.3%,87.6,81,26,30,10,15,2
40,NTRS,Northern Trust,$182.52,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.61,1.55,0.73,117.2%,86.9,81,26,30,10,15,2
41,GS,Goldman Sachs,"$1,048.23",강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.68,0.88,1.37,111.3%,86.5,81,26,30,10,15,2
