순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,HUM,Humana,$407.02,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.37,0.66,1.04,138.1%,96.0,99,29,30,25,15,2
2,NUE,Nucor,$254.63,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.14,0.67,1.23,115.0%,94.0,98,28,30,25,15,3
3,MRNA,Moderna,$146.69,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.12,0.57,0.71,224.7%,99.6,90,30,30,25,5,4
4,DELL,Dell Technologies,$534.28,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.69,1.32,0.63,172.6%,98.9,85,30,30,10,15,4
5,VLO,Valero Energy,$382.95,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.17,1.4,1.58,143.9%,97.9,84,29,30,10,15,3
6,MPC,Marathon Petroleum,$396.45,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.1,1.19,1.51,147.8%,97.7,84,29,30,10,15,3
7,PSX,Phillips 66,$257.06,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.08,1.12,1.37,138.0%,96.6,84,29,30,10,15,2
8,CRL,Charles River Laboratories,$273.11,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.12,1.07,1.8,134.5%,95.3,84,29,30,10,15,2
9,APA,APA Corporation,$45.03,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.18,1.1,1.62,122.7%,95.1,84,29,30,10,15,3
10,ANET,Arista Networks,$187.81,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.38,0.68,1.22,116.6%,81.1,84,24,30,25,5,4
11,STT,State Street Corporation,$188.16,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.45,1.12,1.45,119.3%,93.8,83,28,30,10,15,1
12,NTAP,NetApp,$188.28,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.46,0.9,0.77,133.8%,92.5,83,28,30,10,15,3
13,EXPD,Expeditors International,$193.61,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.43,0.95,1.13,120.1%,92.3,83,28,30,10,15,2
14,ADM,Archer Daniels Midland,$86.44,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.36,0.93,0.95,114.1%,92.1,83,28,30,10,15,2
15,IVZ,Invesco,$31.51,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.24,0.8,1.08,115.1%,91.9,83,28,30,10,15,2
16,ABNB,Airbnb,$170.65,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.13,0.67,1.02,118.2%,76.2,83,23,30,25,5,2
17,JNJ,Johnson & Johnson,$266.32,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.2,0.71,1.01,109.3%,91.3,82,27,30,10,15,1
18,INCY,Incyte,$122.19,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.41,0.93,1.02,114.9%,91.1,82,27,30,10,15,2
19,MRK,Merck & Co.,$144.85,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.2,0.82,0.85,117.4%,90.6,82,27,30,10,15,1
20,TRV,Travelers Companies (The),$378.05,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.7,0.8,0.84,117.3%,90.4,82,27,30,10,15,1
21,EBAY,eBay Inc.,$108.99,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.5,0.85,1.47,106.2%,89.1,82,27,30,10,15,2
22,DGX,Quest Diagnostics,$237.89,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.24,1.03,0.98,114.2%,88.1,81,26,30,10,15,1
23,DE,Deere & Company,$681.46,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.14,0.96,0.78,114.0%,87.7,81,26,30,10,15,2
24,VRSN,Verisign,$298.60,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.59,0.75,1.37,111.8%,87.2,81,26,30,10,15,1
25,CAH,Cardinal Health,$234.89,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.6,0.85,1.95,107.2%,87.0,81,26,30,10,15,2
26,PFG,Principal Financial Group,$116.90,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.55,0.81,0.97,115.0%,86.4,81,26,30,10,15,1
27,GILD,Gilead Sciences,$146.41,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.18,0.84,1.17,107.2%,85.7,81,26,30,10,15,1
