순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,STT,State Street Corporation,$191.38,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.32,0.65,1.91,124.6%,93.5,98,28,30,25,15,1
2,ZBRA,Zebra Technologies,$353.55,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.07,0.7,1.1,138.4%,89.1,97,27,30,25,15,1
3,BEN,Franklin Resources,$34.15,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.42,0.63,1.49,116.0%,87.4,96,26,30,25,15,2
4,CAH,Cardinal Health,$234.62,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.5,0.67,1.62,107.9%,85.9,96,26,30,25,15,2
5,BIIB,Biogen,$216.65,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),3,0.46,0.59,1.67,111.4%,76.9,93,23,30,25,15,3
6,DXCM,DexCom,$91.06,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.16,0.66,0.99,127.2%,76.7,93,23,30,25,15,1
7,MU,Micron Technology,$958.73,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.17,0.65,0.99,137.8%,99.2,90,30,30,25,5,4
8,VLO,Valero Energy,$358.92,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.38,0.97,1.81,141.6%,97.3,84,29,30,10,15,3
9,MPC,Marathon Petroleum,$373.32,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,0.31,1.26,1.2,146.8%,96.9,84,29,30,10,15,3
10,PSX,Phillips 66,$246.58,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.27,1.12,1.83,137.8%,95.8,84,29,30,10,15,2
11,CRL,Charles River Laboratories,$288.24,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.19,1.17,1.21,145.6%,95.4,84,29,30,10,15,2
12,IBKR,Interactive Brokers,$97.29,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.68,0.9,0.69,118.7%,92.9,83,28,30,10,15,3
13,IVZ,Invesco,$32.78,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.21,0.76,1.67,121.4%,92.7,83,28,30,10,15,2
14,APA,APA Corporation,$43.15,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.38,0.77,0.98,121.6%,92.4,83,28,30,10,15,3
15,BNY,BNY Mellon,$161.28,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.23,1.08,2.6,118.3%,92.2,83,28,30,10,15,1
16,FCX,Freeport-McMoRan,$75.74,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.41,1.08,0.93,119.0%,91.6,82,27,30,10,15,4
17,ABNB,Airbnb,$183.22,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.22,1.16,1.59,129.9%,90.8,82,27,30,10,15,2
18,EXPD,Expeditors International,$189.65,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.18,0.81,1.65,119.1%,90.4,82,27,30,10,15,2
19,AMGN,Amgen,$429.88,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.27,0.86,1.33,119.4%,88.9,82,27,30,10,15,2
20,ANET,Arista Networks,$195.69,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.49,0.77,1.07,124.1%,88.7,82,27,30,10,15,4
21,NTRS,Northern Trust,$185.56,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.2,0.78,0.86,113.8%,88.5,82,27,30,10,15,2
22,JNJ,Johnson & Johnson,$265.85,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.65,1.02,1.08,110.4%,87.2,81,26,30,10,15,1
23,WELL,Welltower,$236.24,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.34,1.1,2.06,110.2%,86.6,81,26,30,10,15,2
24,SJM,J.M. Smucker Company (The),$131.16,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.69,1.49,0.58,123.4%,85.7,81,26,30,10,15,2
25,TRGP,Targa Resources,$293.65,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.44,1.04,1.56,116.5%,85.5,81,26,30,10,15,1
26,LH,Labcorp,$332.66,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.12,1.07,1.26,120.0%,85.1,81,26,30,10,15,2
27,DGX,Quest Diagnostics,$240.30,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.14,1.03,1.62,117.3%,84.7,80,25,30,10,15,1
28,NDSN,Nordson Corporation,$321.72,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.55,0.95,1.58,112.0%,83.9,80,25,30,10,15,2
29,TGT,Target Corporation,$160.88,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.41,1.02,0.82,126.6%,83.2,80,25,30,10,15,1
30,TRV,Travelers Companies (The),$365.93,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.1,0.83,1.54,115.2%,82.8,80,25,30,10,15,1
31,CF,CF Industries,$130.03,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.49,1.02,1.49,113.4%,82.6,80,25,30,10,15,1
32,CSX,CSX Corporation,$50.51,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.47,0.75,1.62,112.2%,81.1,79,24,30,10,15,1
33,VRTX,Vertex Pharmaceuticals,$544.52,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.16,0.72,1.42,116.3%,80.7,79,24,30,10,15,2
34,ADM,Archer Daniels Midland,$81.29,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.4,0.96,1.99,109.1%,80.1,79,24,30,10,15,1
35,CTVA,Corteva,$84.63,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.16,1.05,1.46,105.9%,79.2,79,24,30,10,15,2
36,RTX,RTX Corporation,$207.73,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.15,0.72,1.71,106.5%,79.0,79,24,30,10,15,2
37,GM,General Motors,$86.32,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.08,1.13,1.09,108.1%,78.6,79,24,30,10,15,2
38,COP,ConocoPhillips,$132.49,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.26,1.07,1.32,113.7%,78.4,79,24,30,10,15,2
39,ALL,Allstate,$257.80,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.21,0.94,1.5,114.9%,78.2,78,23,30,10,15,1
40,PM,Philip Morris International,$187.30,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.52,0.87,1.01,105.7%,77.2,78,23,30,10,15,2
41,AIZ,Assurant,$281.86,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.42,0.72,1.2,113.7%,77.1,78,23,30,10,15,2
42,XOM,ExxonMobil,$160.95,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.41,1.09,1.29,107.4%,76.5,78,23,30,10,15,1
43,KO,Coca-Cola Company (The),$88.67,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.47,0.99,2.4,110.7%,75.3,78,23,30,10,15,1
44,NSC,Norfolk Southern,$342.79,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.57,0.88,0.93,109.9%,75.1,78,23,30,10,15,2
