순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,CRWD,CrowdStrike,$216.95,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.3,0.69,1.16,154.3%,97.0,99,29,30,25,15,4
2,NUE,Nucor,$268.91,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.17,0.59,1.42,127.4%,93.0,98,28,30,25,15,3
3,ASML,ASML Holding,"$1,844.08",강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.48,0.62,0.75,119.4%,91.9,98,28,30,25,15,2
4,APH,Amphenol,$167.11,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.22,0.63,1.07,114.3%,91.7,98,28,30,25,15,2
5,HUM,Humana,$389.05,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.41,0.62,1.01,142.1%,91.3,97,27,30,25,15,2
6,FTNT,Fortinet,$160.01,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.39,0.64,0.67,142.8%,90.9,97,27,30,25,15,1
7,KEYS,Keysight Technologies,$357.82,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.52,0.64,1.1,117.5%,90.6,97,27,30,25,15,2
8,STT,State Street Corporation,$191.74,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.32,0.49,0.83,128.3%,89.8,97,27,30,25,15,1
9,BNY,BNY Mellon,$163.24,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.27,0.52,0.99,122.3%,89.4,97,27,30,25,15,1
10,RTX,RTX Corporation,$222.97,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.14,0.68,0.89,115.2%,88.7,97,27,30,25,15,2
11,C,Citigroup,$139.33,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.32,0.6,0.72,112.3%,88.1,96,26,30,25,15,2
12,GE,GE Aerospace,$368.38,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.29,0.63,1.08,114.0%,87.9,96,26,30,25,15,2
13,GRMN,Garmin,$310.20,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.09,0.55,0.92,128.7%,87.5,96,26,30,25,15,3
14,IBKR,Interactive Brokers,$92.06,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.32,0.56,0.85,114.3%,86.0,96,26,30,25,15,3
15,EXPD,Expeditors International,$186.12,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.64,0.65,0.85,118.2%,85.1,96,26,30,25,15,2
16,CFG,Citizens Financial Group,$74.73,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.54,0.62,0.51,116.3%,84.7,95,25,30,25,15,2
17,JCI,Johnson Controls,$153.64,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.69,0.58,0.92,111.6%,84.5,95,25,30,25,15,2
18,CASY,Casey's,$846.45,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.33,0.57,0.94,111.7%,84.2,95,25,30,25,15,2
19,BEN,Franklin Resources,$33.86,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.34,0.52,1.61,117.5%,83.6,95,25,30,25,15,2
20,MS,Morgan Stanley,$217.36,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.24,0.62,0.94,114.0%,83.4,95,25,30,25,15,2
21,INCY,Incyte,$120.16,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.08,0.47,0.95,116.2%,82.8,95,25,30,25,15,3
22,SWK,Stanley Black & Decker,$102.07,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.25,0.69,1.08,125.0%,82.5,95,25,30,25,15,2
23,DGX,Quest Diagnostics,$234.40,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.12,0.6,0.99,116.7%,82.1,95,25,30,25,15,1
24,JNJ,Johnson & Johnson,$260.35,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.1,0.58,1.03,109.3%,81.9,95,25,30,25,15,1
25,GM,General Motors,$86.77,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.27,0.54,0.99,109.1%,81.3,94,24,30,25,15,2
26,JPM,JPMorgan Chase,$362.84,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.21,0.54,0.99,115.8%,80.9,94,24,30,25,15,2
27,SCHW,Charles Schwab Corporation,$111.09,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.29,0.6,1.16,115.9%,80.6,94,24,30,25,15,2
28,DAL,Delta Air Lines,$89.35,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.27,0.56,1.25,119.5%,80.2,94,24,30,25,15,2
29,FCX,Freeport-McMoRan,$66.49,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),3,0.65,0.59,0.88,106.2%,79.6,94,24,30,25,15,3
30,ETN,Eaton Corporation,$451.51,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.46,0.65,0.9,116.5%,77.2,93,23,30,25,15,4
31,LH,Labcorp,$318.13,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.13,0.54,1.24,116.5%,76.8,93,23,30,25,15,3
32,WSM,"Williams-Sonoma, Inc.",$241.58,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.65,0.7,1.04,117.7%,75.8,93,23,30,25,15,2
33,USB,U.S. Bancorp,$65.42,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.31,0.51,1.17,115.5%,74.3,92,22,30,25,15,2
34,PFG,Principal Financial Group,$113.98,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.27,0.47,1.01,114.6%,74.2,92,22,30,25,15,1
35,CNC,Centene Corporation,$67.47,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.45,0.6,0.64,131.6%,73.6,92,22,30,25,15,1
36,CPAY,Corpay,$417.60,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.55,0.7,0.5,123.8%,73.2,92,22,30,25,15,1
37,MET,MetLife,$97.66,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.11,0.55,1.08,121.5%,72.1,92,22,30,25,15,1
38,PNC,PNC Financial Services,$256.97,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.33,0.4,1.05,114.0%,71.5,91,21,30,25,15,2
