순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,CASY,Casey's,$867.50,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.14,0.6,0.68,117.6%,92.0,98,28,30,25,15,2
2,DLTR,Dollar Tree,$128.57,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.52,0.55,0.57,111.8%,89.9,97,27,30,25,15,1
3,SPG,Simon Property Group,$230.44,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.42,0.68,0.91,115.6%,75.6,93,23,30,25,15,1
4,DDOG,Datadog,$268.56,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.55,1.08,0.67,159.1%,97.5,84,29,30,10,15,2
5,VLO,Valero Energy,$311.71,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.27,0.78,0.97,134.1%,96.9,84,29,30,10,15,3
6,MPC,Marathon Petroleum,$314.08,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.18,0.78,1.22,135.9%,95.8,84,29,30,10,15,3
7,FTNT,Fortinet,$154.25,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.2,1.59,0.89,145.6%,95.4,84,29,30,10,15,1
8,NTAP,NetApp,$173.98,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.4,0.99,0.53,142.2%,95.0,83,28,30,10,15,2
9,HWM,Howmet Aerospace,$277.28,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.7,0.86,0.81,111.8%,94.8,83,28,30,10,15,2
10,DVA,DaVita,$238.86,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.15,0.77,0.57,142.5%,94.3,83,28,30,10,15,1
11,STT,State Street Corporation,$182.82,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.47,0.8,1.09,125.8%,93.9,83,28,30,10,15,1
12,CVS,CVS Health,$105.22,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.43,0.9,1.0,123.4%,93.7,83,28,30,10,15,2
13,PSX,Phillips 66,$210.60,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.18,0.8,0.87,126.4%,93.3,83,28,30,10,15,2
14,NUE,Nucor,$257.04,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.53,1.18,0.65,126.4%,92.9,83,28,30,10,15,2
15,BNY,BNY Mellon,$156.08,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.41,0.73,0.89,119.7%,92.6,83,28,30,10,15,1
16,ROST,Ross Stores,$252.57,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.65,0.92,0.96,118.6%,91.2,82,27,30,10,15,2
17,GE,GE Aerospace,$355.04,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.29,0.77,0.86,111.2%,90.5,82,27,30,10,15,2
18,MNST,Monster Beverage,$97.65,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.56,1.03,1.44,117.1%,90.3,82,27,30,10,15,2
19,IBKR,Interactive Brokers,$90.48,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.64,1.23,0.69,114.6%,90.1,82,27,30,10,15,3
