순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,HWM,Howmet Aerospace,$286.34,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.66,0.68,0.66,115.0%,94.7,98,28,30,25,15,2
2,TPR,"Tapestry, Inc.",$155.63,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.53,0.58,0.73,109.6%,94.5,98,28,30,25,15,2
3,GE,GE Aerospace,$368.93,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.43,0.66,0.8,115.3%,92.6,98,28,30,25,15,2
4,STT,State Street Corporation,$183.67,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.43,0.66,0.5,125.8%,91.6,97,27,30,25,15,1
5,BNY,BNY Mellon,$156.20,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.29,0.63,1.15,119.3%,91.3,97,27,30,25,15,1
6,CASY,Casey's,$860.37,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.13,0.45,1.21,116.1%,90.9,97,27,30,25,15,2
7,CAH,Cardinal Health,$235.60,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.35,0.68,0.93,110.2%,89.4,97,27,30,25,15,2
8,DLTR,Dollar Tree,$129.35,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.17,0.52,1.42,112.4%,88.6,97,27,30,25,15,1
9,DAL,Delta Air Lines,$91.59,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.43,0.67,0.96,124.6%,84.6,95,25,30,25,15,2
10,CFG,Citizens Financial Group,$72.70,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.29,0.68,0.61,114.6%,81.2,94,24,30,25,15,2
11,WSM,"Williams-Sonoma, Inc.",$239.80,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.45,0.66,0.82,118.9%,78.7,94,24,30,25,15,2
12,BAC,Bank of America,$62.48,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.28,0.68,0.69,116.9%,77.6,93,23,30,25,15,2
13,SPG,Simon Property Group,$229.16,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.55,0.56,0.64,114.6%,74.3,92,22,30,25,15,1
14,UAL,United Airlines Holdings,$128.39,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.35,0.64,1.58,119.7%,73.4,92,22,30,25,15,2
15,CRWD,CrowdStrike,$202.54,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.61,0.86,1.3,150.5%,97.3,84,29,30,10,15,3
16,VLO,Valero Energy,$307.54,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.3,0.79,1.04,131.7%,96.8,84,29,30,10,15,3
17,PANW,Palo Alto Networks,$347.13,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.38,0.87,1.32,158.0%,96.6,84,29,30,10,15,3
18,DDOG,Datadog,$273.60,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.49,1.08,0.95,160.4%,96.2,84,29,30,10,15,2
19,MPC,Marathon Petroleum,$307.03,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.21,0.84,1.25,131.8%,95.6,84,29,30,10,15,3
20,CVS,CVS Health,$105.37,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.6,0.8,0.6,123.0%,94.3,83,28,30,10,15,2
21,NUE,Nucor,$261.28,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.3,0.84,0.82,127.7%,93.7,83,28,30,10,15,2
22,PSX,Phillips 66,$206.19,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.22,0.81,0.54,122.9%,92.0,83,28,30,10,15,2
23,ROST,Ross Stores,$252.91,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.09,0.73,1.43,118.2%,90.7,82,27,30,10,15,2
24,GL,Globe Life,$184.09,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.27,1.03,0.48,120.3%,89.7,82,27,30,10,15,1
25,DVA,DaVita,$233.68,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.2,0.89,2.8,138.0%,89.5,82,27,30,10,15,1
26,TRV,Travelers Companies (The),$373.82,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.54,1.01,1.24,122.2%,87.6,81,26,30,10,15,1
27,GM,General Motors,$87.68,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.39,0.72,0.72,110.7%,87.3,81,26,30,10,15,2
28,VRSN,Verisign,$298.89,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.51,1.05,0.76,115.2%,86.9,81,26,30,10,15,2
29,NTRS,Northern Trust,$182.20,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.33,0.89,0.79,115.7%,86.5,81,26,30,10,15,2
30,HST,Host Hotels & Resorts,$25.09,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.59,0.95,0.93,122.8%,86.3,81,26,30,10,15,1
31,FFIV,"F5, Inc.",$406.35,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.59,1.27,1.32,123.3%,85.9,81,26,30,10,15,2
32,WELL,Welltower,$233.10,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.35,0.9,0.49,111.7%,85.0,81,26,30,10,15,2
33,DELL,Dell Technologies,$429.02,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.06,0.67,0.84,178.5%,98.9,80,30,10,25,15,2
34,DGX,Quest Diagnostics,$231.95,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.27,0.86,0.96,117.7%,84.8,80,25,30,10,15,1
35,TGT,Target Corporation,$149.35,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.42,0.84,1.47,123.3%,84.2,80,25,30,10,15,1
36,ALL,Allstate,$262.68,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.39,0.76,0.73,121.2%,84.0,80,25,30,10,15,1
37,PFG,Principal Financial Group,$115.13,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.27,1.13,0.39,117.6%,82.3,80,25,30,10,15,1
38,NTAP,NetApp,$182.92,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.72,0.69,1.07,148.4%,95.1,79,29,10,25,15,3
39,JNJ,Johnson & Johnson,$254.41,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.52,0.87,1.13,108.3%,80.6,79,24,30,10,15,1
40,CSX,CSX Corporation,$49.83,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.28,1.08,0.7,115.5%,79.7,79,24,30,10,15,1
41,CNC,Centene Corporation,$63.76,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.59,1.07,1.49,127.7%,77.4,78,23,30,10,15,1
42,BMY,Bristol Myers Squibb,$65.47,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.55,1.52,1.69,114.2%,77.2,78,23,30,10,15,2
43,SWK,Stanley Black & Decker,$98.11,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.41,1.41,0.48,122.6%,76.8,78,23,30,10,15,2
44,MET,MetLife,$96.31,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.18,1.27,0.57,120.8%,76.4,78,23,30,10,15,1
45,AIZ,Assurant,$282.39,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.17,1.13,0.63,116.9%,74.9,77,22,30,10,15,2
46,CRL,Charles River Laboratories,$230.87,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.17,0.81,1.19,121.8%,74.5,77,22,30,10,15,3
47,KO,Coca-Cola Company (The),$86.86,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.52,0.95,1.55,112.0%,74.0,77,22,30,10,15,1
48,FANG,Diamondback Energy,$198.75,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.65,0.77,1.31,109.4%,73.8,77,22,30,10,15,1
49,AMGN,Amgen,$378.87,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.52,0.97,1.66,108.3%,72.8,77,22,30,10,15,2
50,CVX,Chevron Corporation,$193.18,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.44,0.94,0.8,106.2%,71.3,76,21,30,10,15,1
51,EXPD,Expeditors International,$170.59,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.28,1.17,1.67,109.6%,71.1,76,21,30,10,15,2
52,VTRS,Viatris,$17.63,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.26,1.02,0.55,118.0%,70.9,76,21,30,10,15,2
53,MTB,M&T Bank,$249.48,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.29,0.89,0.82,113.6%,70.0,76,21,30,10,15,2
54,HUM,Humana,$374.50,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.56,1.14,0.95,140.2%,94.1,73,28,30,10,5,2
55,STLD,Steel Dynamics,$258.38,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.2,0.73,1.11,122.3%,93.2,73,28,30,10,5,2
56,EOG,EOG Resources,$145.68,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.9,0.67,0.9,113.5%,78.1,73,23,10,25,15,2
57,APA,APA Corporation,$36.87,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.57,1.09,0.62,110.2%,88.4,72,27,30,10,5,2
58,FCX,Freeport-McMoRan,$63.64,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),3,0.41,0.73,0.68,103.2%,75.5,68,23,30,10,5,3
59,XOM,ExxonMobil,$155.06,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.31,0.86,0.92,106.0%,74.1,67,22,30,10,5,1
60,BKR,Baker Hughes,$60.81,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),3,0.31,0.76,1.13,102.3%,71.7,67,22,30,10,5,3
61,VTR,Ventas,$90.85,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.66,1.12,0.59,107.6%,70.5,66,21,30,10,5,2
62,CF,CF Industries,$118.30,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.57,0.72,0.71,107.3%,70.3,66,21,30,10,5,2
63,FTNT,Fortinet,$163.21,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.71,1.24,0.95,152.5%,95.2,64,29,10,10,15,1
64,APH,Amphenol,$163.34,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.04,1.03,0.6,113.2%,92.4,63,28,10,10,15,2
65,GRMN,Garmin,$304.76,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,3.77,1.1,0.57,129.8%,92.2,63,28,10,10,15,3
66,ANET,Arista Networks,$184.89,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,1.11,0.99,0.87,123.7%,91.4,62,27,10,10,15,4
67,IVZ,Invesco,$30.91,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.8,0.87,1.01,116.3%,89.2,62,27,10,10,15,2
68,BAX,Baxter International,$28.10,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.26,1.94,0.9,143.1%,88.2,61,26,10,10,15,1
69,BEN,Franklin Resources,$35.24,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.07,1.71,0.52,125.0%,87.5,61,26,10,10,15,2
70,DXCM,DexCom,$87.31,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,2.01,1.72,0.73,126.3%,86.7,61,26,10,10,15,1
71,GOOGL,Alphabet Inc. (Class A),$373.51,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,2.0,1.12,0.82,110.4%,85.7,61,26,10,10,15,2
72,GOOG,Alphabet Inc. (Class C),$372.47,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,2.06,1.1,0.89,110.5%,85.4,61,26,10,10,15,2
73,WAB,Wabtec,$296.47,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.98,0.89,0.54,116.1%,85.2,61,26,10,10,15,1
74,URI,United Rentals,"$1,115.92",매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.83,0.78,1.21,121.2%,83.5,60,25,10,10,15,2
75,JCI,Johnson Controls,$146.39,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,1.33,0.85,0.9,108.0%,82.9,60,25,10,10,15,2
76,AMZN,Amazon,$284.02,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,4.28,1.89,0.67,119.8%,81.6,59,24,10,10,15,3
77,ROK,Rockwell Automation,$480.98,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.75,1.23,1.52,114.1%,80.2,59,24,10,10,15,2
78,ETN,Eaton Corporation,$438.23,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,2.58,1.55,0.69,115.1%,73.2,57,22,10,10,15,4
79,PM,Philip Morris International,$187.41,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,1.07,0.95,0.52,107.9%,72.6,57,22,10,10,15,2
80,HPE,Hewlett Packard Enterprise,$50.24,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.98,0.82,0.98,159.1%,98.1,54,29,10,10,5,2
81,INCY,Incyte,$118.43,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.73,0.94,0.77,115.7%,84.4,50,25,10,10,5,3
82,EME,Emcor,$817.42,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),3,1.86,1.3,0.63,105.0%,75.9,48,23,10,10,5,3
