순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,NUE,Nucor,$274.61,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.1,0.69,1.04,131.8%,94.9,98,28,30,25,15,3
2,STT,State Street Corporation,$186.68,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.15,0.66,1.22,126.2%,90.3,97,27,30,25,15,1
3,BNY,BNY Mellon,$159.43,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.16,0.69,0.94,120.4%,90.1,97,27,30,25,15,1
4,GE,GE Aerospace,$366.70,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.49,0.69,1.22,113.9%,89.6,97,27,30,25,15,2
5,ROST,Ross Stores,$254.83,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.16,0.59,1.74,117.8%,88.4,97,27,30,25,15,2
6,TRV,Travelers Companies (The),$375.62,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.18,0.65,1.27,121.5%,86.3,96,26,30,25,15,1
7,DGX,Quest Diagnostics,$237.63,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.22,0.68,1.49,119.3%,85.4,96,26,30,25,15,1
8,DLTR,Dollar Tree,$129.37,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.16,0.56,1.41,112.2%,85.0,96,26,30,25,15,1
9,GM,General Motors,$87.96,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.3,0.56,0.86,110.8%,83.5,95,25,30,25,15,2
10,CFG,Citizens Financial Group,$72.67,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.3,0.58,1.04,113.6%,82.7,95,25,30,25,15,2
11,LH,Labcorp,$321.31,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.32,0.65,1.25,118.4%,82.0,95,25,30,25,15,2
12,MS,Morgan Stanley,$215.33,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.32,0.7,0.73,113.4%,79.5,94,24,30,25,15,2
13,DAL,Delta Air Lines,$89.21,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.43,0.57,1.11,120.1%,79.1,94,24,30,25,15,2
14,JPM,JPMorgan Chase,$359.79,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.15,0.56,1.17,115.1%,78.6,94,24,30,25,15,2
15,AMZN,Amazon,$278.09,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.39,0.6,1.05,116.6%,73.6,92,22,30,25,15,3
16,ABBV,AbbVie,$247.97,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.13,0.6,0.85,111.5%,72.1,92,22,30,25,15,2
17,USB,U.S. Bancorp,$64.19,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.09,0.61,1.27,113.9%,71.3,91,21,30,25,15,2
18,MTB,M&T Bank,$251.13,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.14,0.61,0.91,113.5%,70.2,91,21,30,25,15,2
19,NDSN,Nordson Corporation,$308.69,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.15,0.67,0.92,109.5%,70.0,91,21,30,25,15,2
20,KEYS,Keysight Technologies,$335.41,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.15,0.62,1.0,111.2%,87.9,86,26,30,25,5,2
21,AVGO,Broadcom,$422.40,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.34,0.6,0.94,114.4%,85.8,86,26,30,25,5,2
22,DELL,Dell Technologies,$457.88,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.62,0.76,0.95,182.2%,99.1,85,30,30,10,15,3
23,CRWD,CrowdStrike,$225.16,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.54,0.73,1.39,163.5%,97.5,84,29,30,10,15,4
24,PANW,Palo Alto Networks,$385.04,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.37,0.79,1.21,170.6%,97.3,84,29,30,10,15,4
25,VLO,Valero Energy,$314.95,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.25,1.05,0.97,132.1%,96.6,84,29,30,10,15,3
26,MPC,Marathon Petroleum,$320.32,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.38,1.19,1.76,134.7%,95.1,84,29,30,10,15,3
