순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,NUE,Nucor,$271.95,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.12,0.65,0.96,130.1%,94.8,98,28,30,25,15,3
2,ASML,ASML Holding,"$1,799.38",강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.57,0.62,1.34,117.5%,92.9,98,28,30,25,15,2
3,APH,Amphenol,$167.23,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.31,0.68,0.71,114.8%,92.4,98,28,30,25,15,2
4,STT,State Street Corporation,$187.22,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.17,0.52,0.66,126.2%,90.5,97,27,30,25,15,1
5,BNY,BNY Mellon,$160.32,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.15,0.59,0.58,120.9%,90.3,97,27,30,25,15,1
6,GE,GE Aerospace,$368.06,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.53,0.6,0.74,114.2%,89.9,97,27,30,25,15,2
7,TRV,Travelers Companies (The),$375.61,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.19,0.62,0.79,121.3%,87.8,96,26,30,25,15,1
8,ROST,Ross Stores,$251.81,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.12,0.7,1.11,116.2%,87.6,96,26,30,25,15,2
9,GM,General Motors,$89.35,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.3,0.53,1.39,112.5%,86.6,96,26,30,25,15,2
10,AMGN,Amgen,$414.30,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.42,0.7,1.04,117.3%,86.1,96,26,30,25,15,2
11,INCY,Incyte,$121.07,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.17,0.67,0.8,117.4%,85.5,96,26,30,25,15,3
