순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,DELL,Dell Technologies,$575.31,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.47,1.19,0.66,177.3%,98.7,85,30,30,10,15,4
2,MRNA,Moderna,$172.94,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.26,0.94,1.04,250.3%,98.3,84,29,30,10,15,4
3,CRWD,CrowdStrike,$249.35,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.28,1.46,0.69,157.7%,97.4,84,29,30,10,15,4
4,VLO,Valero Energy,$393.27,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.38,1.89,0.42,144.1%,97.2,84,29,30,10,15,2
5,MPC,Marathon Petroleum,$402.38,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.3,2.11,0.45,146.1%,97.0,84,29,30,10,15,3
6,PANW,Palo Alto Networks,$371.76,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.21,1.34,0.39,142.4%,95.5,84,29,30,10,15,4
7,P,Everpure,$113.66,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.46,5.56,0.1,145.5%,94.9,83,28,30,10,15,2
8,PSX,Phillips 66,$261.75,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.3,1.94,0.33,137.7%,94.7,83,28,30,10,15,2
9,FTNT,Fortinet,$175.23,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.32,1.41,0.25,139.6%,94.5,83,28,30,10,15,1
10,NEM,Newmont,$123.05,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.07,1.38,0.26,111.5%,93.8,83,28,30,10,15,2
11,NTAP,NetApp,$198.15,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.39,1.12,0.37,137.8%,93.2,83,28,30,10,15,3
12,ANET,Arista Networks,$205.42,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.4,1.16,0.47,126.0%,92.6,83,28,30,10,15,4
13,SWKS,Skyworks Solutions,$88.74,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.7,1.62,0.2,135.5%,91.9,83,28,30,10,15,3
14,HPQ,HP Inc.,$32.95,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.58,1.36,0.45,140.2%,91.5,82,27,30,10,15,2
15,APH,Amphenol,$80.72,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.4,1.31,0.39,108.7%,91.3,82,27,30,10,15,2
16,NVDA,Nvidia,$227.38,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.58,1.04,0.58,112.0%,90.4,82,27,30,10,15,2
17,CRL,Charles River Laboratories,$279.01,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.15,1.15,0.64,135.0%,90.0,82,27,30,10,15,2
18,KEYS,Keysight Technologies,$342.03,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.7,0.94,0.45,105.9%,89.8,82,27,30,10,15,2
19,APA,APA Corporation,$43.81,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.41,1.32,0.5,117.4%,89.6,82,27,30,10,15,3
20,RVTY,Revvity,$143.59,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.36,1.5,0.62,137.8%,88.5,82,27,30,10,15,2
21,EXPD,Expeditors International,$192.15,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.28,1.58,0.51,118.3%,87.9,81,26,30,10,15,2
22,IVZ,Invesco,$31.38,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.39,1.18,0.6,114.0%,86.6,81,26,30,10,15,2
23,AAPL,Apple Inc.,$338.98,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.3,1.1,0.4,115.8%,86.0,81,26,30,10,15,3
24,JCI,Johnson Controls,$145.18,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.5,1.01,0.4,103.1%,84.7,80,25,30,10,15,2
25,INCY,Incyte,$124.65,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.55,1.31,0.34,116.4%,84.5,80,25,30,10,15,2
26,VRSN,Verisign,$308.18,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.59,1.52,0.93,114.1%,84.2,80,25,30,10,15,1
27,BBY,Best Buy,$93.22,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.42,1.0,0.51,129.7%,84.0,80,25,30,10,15,2
28,MRK,Merck & Co.,$149.50,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.21,1.61,0.26,120.9%,83.8,80,25,30,10,15,1
29,VTRS,Viatris,$17.10,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.31,1.06,0.44,109.6%,83.4,80,25,30,10,15,2
30,JNJ,Johnson & Johnson,$269.47,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.21,1.36,0.27,110.1%,83.2,80,25,30,10,15,1
31,PFG,Principal Financial Group,$116.47,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.46,1.44,0.38,113.6%,82.5,80,25,30,10,15,1
32,DGX,Quest Diagnostics,$244.88,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.26,1.38,0.47,116.7%,82.3,80,25,30,10,15,1
33,GILD,Gilead Sciences,$150.56,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.27,1.58,0.34,110.8%,82.1,80,25,30,10,15,1
34,TRV,Travelers Companies (The),$371.13,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.4,1.15,0.34,114.2%,81.9,80,25,30,10,15,1
35,C,Citigroup,$135.05,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.59,1.5,0.52,106.1%,81.5,79,24,30,10,15,2
36,DE,Deere & Company,$684.73,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.22,1.18,0.42,114.0%,81.1,79,24,30,10,15,2
37,ZBRA,Zebra Technologies,$350.84,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.11,1.09,0.35,132.0%,80.6,79,24,30,10,15,1
38,EBAY,eBay Inc.,$108.30,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.5,2.17,0.25,104.6%,80.4,79,24,30,10,15,2
39,ABBV,AbbVie,$264.48,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.11,1.04,0.42,114.9%,80.0,79,24,30,10,15,2
40,ETN,Eaton Corporation,$435.43,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),4,0.69,1.41,0.48,109.3%,79.1,79,24,30,10,15,4
