순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,TER,Teradyne,$443.14,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.48,0.56,1.69,129.8%,96.6,99,29,30,25,15,4
2,CRWD,CrowdStrike,$213.90,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.4,0.7,0.95,151.5%,96.0,99,29,30,25,15,4
3,NUE,Nucor,$272.68,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.12,0.66,0.79,128.7%,93.8,98,28,30,25,15,3
4,GEV,GE Vernova,"$1,079.00",강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.42,0.65,1.4,114.7%,93.4,98,28,30,25,15,3
5,ASML,ASML Holding,"$1,883.12",강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.36,0.61,1.38,121.6%,92.6,98,28,30,25,15,2
6,APH,Amphenol,$170.87,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.31,0.7,1.41,116.7%,92.1,98,28,30,25,15,2
7,BNY,BNY Mellon,$164.27,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.25,0.54,1.21,123.0%,90.7,97,27,30,25,15,1
8,STT,State Street Corporation,$193.04,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.34,0.61,1.39,128.8%,90.5,97,27,30,25,15,1
9,FTNT,Fortinet,$155.85,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.61,0.68,1.34,138.5%,90.0,97,27,30,25,15,1
10,GRMN,Garmin,$307.50,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.08,0.62,1.52,127.3%,88.3,96,26,30,25,15,3
11,CASY,Casey's,$870.01,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.48,0.67,1.38,114.5%,87.7,96,26,30,25,15,2
